BACIA,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6
Alto Paraná,2233.4745000000003,2001.0176000000001,1847.3236000000002,1769.9730000000002,1731.587,1715.6689000000001
Alto Tietê,195.9876,164.7432,85.21199999999999,100.55015999999999,170.42399999999998,108.50328
Amazonas (N),856.0278000000001,927.4894,1074.8078,1288.1972,1257.8342,1098.8883
Amazonas (SE),15008.0024,13145.1083,11465.707699999999,10346.5179,10255.0385,9424.6034
Araguari,1366.7329,1160.9025000000001,1173.5832,1292.1824,1233.8931,1044.7846
Baixo Paraná,8490.522299999999,8716.2464,7621.9511,7125.84514,7252.3270999999995,7435.4519199999995
Capivari,101.6672,69.8962,63.541999999999994,63.541999999999994,69.8962,57.187799999999996
Doce,466.40000000000003,415.4547,413.61220000000003,400.6859,397.3522,399.7976
Grande,2906.3170999999998,2614.9809,2365.3403,2244.4928,2206.0569,2183.8438
Iguaçu,3439.4918,6107.7468,6791.9489,5547.2903,6082.0077,4670.862
Itabapoana,33.806,33.806,32.1157,30.4254,30.4254,28.7351
Itajaí-Açu,91.7332,105.846,243.4458,178.1741,185.2305,139.3639
Jacuí,652.8045,1206.838,691.1638,835.4652,848.8108,796.8502
Jequitinhonha (NE),68.64,62.205,57.199999999999996,55.055,53.625,54.339999999999996
Jequitinhonha (SE),74.1183,65.3985,62.4919,58.132000000000005,55.2254,56.6787
Mucuri,20.2275,20.677,22.475,21.576,21.1265,20.677
Paraguai,436.8262,394.6587,372.0227,356.67729999999995,358.5763,353.4436
Paraguaçu,40.776900000000005,33.1905,16.121100000000002,15.1728,15.1728,15.1728
Paranapanema (S),143.76780000000002,225.62100000000004,199.38600000000002,158.45940000000002,210.92940000000002,219.32460000000003
Paranapanema (SE),561.2655,1001.5487,657.9630000000001,590.9063,736.8416,852.5717
Paranaíba,3733.8682,3346.5322,3195.4994,3037.3974,2914.2945999999997,2825.9973
Paraíba do Sul,615.1775210526316,625.942505263158,569.0041,583.4616052631579,639.6786842105263,577.2825894736842
Parnaíba,182.3888,141.1432,123.3584,109.3576,100.27600000000001,94.97840000000001
Santa Maria da Vitória,10.565999999999999,8.4528,10.565999999999999,10.565999999999999,10.565999999999999,12.6792
São Francisco (NE),5954.8697,4487.3266,3023.678,2683.6884,2547.1352,2577.79
São Francisco (SE),275.336,236.65460000000002,224.6494,210.00220000000002,199.946,192.072
Tietê,499.6422,521.2449,500.7205,503.4576,560.9593,542.8048
Tocantins (N),12353.919999999998,9683.1122,7731.763599999999,6113.9488,4933.1444,4112.4848
Tocantins (SE),1697.0713,1433.1437,1475.8025,1353.7902,1245.6685,1154.0416
Uruguai,1633.2205999999999,3054.3439000000003,2786.2903,2753.1349,2729.4549,2618.6539
Xingu,8031.448252142857,8285.32148,7250.874701428572,5889.774516428572,5946.054505714285,4963.656988571429
