Posto,NOME,PRODUTIBILIDADE,Tipo,S1,S2,S3,S4,S5,S6,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6,BACIA,REGIAO
141,BAGUARI,0.1698,NAT,339,299,300,291,289,290,57.562200000000004,50.7702,50.940000000000005,49.4118,49.0722,49.242000000000004,Doce,Sudeste
144,MASCARENHAS,0.1989,NAT,496,431,431,421,416,418,98.6544,85.7259,85.7259,83.73689999999999,82.7424,83.1402,Doce,Sudeste
145,RONDON II,0.5244,NAT,139,115,109,106,101,90,72.8916,60.306,57.1596,55.5864,52.9644,47.196,Amazonas (SE),Sudeste
148,AIMORÉS,0.2558,NAT,399,347,347,338,334,336,102.06420000000001,88.7626,88.7626,86.4604,85.4372,85.9488,Doce,Sudeste
149,CANDONGA,0.4503,NAT,97,89,89,86,86,84,43.6791,40.076699999999995,40.076699999999995,38.7258,38.7258,37.825199999999995,Doce,Sudeste
154,SAO DOMINGOS,0.3071,NAT,92,90,84,83,84,86,28.2532,27.639,25.7964,25.4893,25.7964,26.4106,Baixo Paraná,Sudeste
155,RETIRO BAIXO,0.3346,NAT,89,79,78,74,71,68,29.779400000000003,26.4334,26.0988,24.7604,23.7566,22.7528,São Francisco (SE),Sudeste
156,TRES MARIAS,0.436,NAT,422,359,333,310,293,283,183.992,156.524,145.188,135.16,127.748,123.388,São Francisco (SE),Sudeste
158,QUEIMADO,1.6404,NAT,39,33,33,32,30,29,63.9756,54.1332,54.1332,52.4928,49.212,47.571600000000004,São Francisco (SE),Sudeste
169,SOBRADINHO,0.2449,NAT,2012,1545,1220,1053,956,910,492.7388,378.3705,298.778,257.8797,234.1244,222.859,São Francisco (NE),Nordeste
172,LUIZ GONZAGA,0.4425,NAT,2130,1663,1220,1053,956,910,942.525,735.8775,539.85,465.9525,423.03000000000003,402.675,São Francisco (NE),Nordeste
