REGIAO,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6
Nordeste,6251.1255,4910.9575,3597.2905000000005,3115.7491,2839.8789,2710.3176
Norte,22608.660052142855,20050.34658,17108.534101428573,14265.79961642857,11899.843205714284,9740.04058857143
Sudeste,37350.969342105265,34750.94431578947,31867.03292631579,29679.112884210524,28935.711184210526,28059.299910526315
Sul,6078.9033,10773.8217,11042.942200000001,12747.52,11970.1224,9304.453
