BACIA,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6
Alto Paraná,2233.3125,2000.4507,1848.9078,1769.3072,1731.8481000000002,1715.0391
Alto Tietê,201.10031999999998,170.42399999999998,118.72871999999998,119.86488,189.73871999999997,126.68184
Amazonas (N),856.0278000000001,926.4964,1055.6675,1204.6687000000002,1175.7047,1067.0323
Amazonas (SE),15008.507099999999,13159.267600000001,11484.6962,10430.1541,9558.427,8960.8497
Araguari,1367.053,1160.9025000000001,1168.0837999999999,1248.613,1175.6038,1019.1141
Baixo Paraná,8489.61788,8672.372599999999,8367.01078,7876.57812,7962.821080000001,7944.877259999999
Capivari,108.0214,69.8962,82.60459999999999,76.2504,82.60459999999999,69.8962
Doce,468.22560000000004,416.0066,414.4881,402.8522,400.2402,402.9414
Grande,2908.4687,2591.6385999999998,2367.1933,2246.9802,2212.1198999999997,2185.4287
Iguaçu,3441.3423000000003,6160.0771,7635.916200000001,8862.3781,8061.990400000001,5549.7946
Itabapoana,33.806,33.806,32.1157,30.4254,32.1157,30.4254
Itajaí-Açu,93.4973,107.6101,231.0971,273.4355,216.9843,148.1844
Jacuí,655.0313,1166.7372,563.0619,604.9475,708.117,700.4356
Jequitinhonha (NE),69.355,62.205,57.915,55.769999999999996,53.625,54.339999999999996
Jequitinhonha (SE),74.1183,65.3985,62.4919,59.585300000000004,56.6787,56.6787
Mucuri,20.677,20.677,22.924500000000002,22.0255,21.1265,20.677
Paraguai,440.2563,399.36969999999997,372.0227,362.318,358.5763,356.58389999999997
Paraguaçu,41.7252,34.1388,16.121100000000002,16.121100000000002,16.121100000000002,15.1728
Paranapanema (S),143.76780000000002,226.67040000000003,245.55960000000002,228.7692,298.0296,291.7332
Paranapanema (SE),562.7047,967.4753000000001,754.5835000000001,657.9046,825.5668999999999,936.5487
Paranaíba,3739.3769,3349.2864,3198.1182,3041.7621,2919.5026,2830.7081
Paraíba do Sul,683.0100421052632,705.0360157894737,609.4033263157894,590.5929842105263,653.6432842105263,597.8324105263158
Parnaíba,182.3888,141.1432,123.3584,109.3576,105.952,104.8168
Santa Maria da Vitória,12.6792,10.565999999999999,10.565999999999999,10.565999999999999,12.6792,12.6792
São Francisco (NE),5957.6565,4673.4705,3399.8960000000006,2934.5004,2664.1808,2535.9880000000003
São Francisco (SE),277.747,237.0906,225.42000000000002,212.41320000000002,200.7166,193.7124
Tietê,499.5722,521.4579,521.7774000000001,508.99619999999993,569.2457,547.4243
Tocantins (N),12354.131,9677.6262,7639.6376,5971.8534,4812.2232,4016.2072
Tocantins (SE),1697.7896,1430.6208000000001,1456.5848,1336.7869,1230.6647,1140.2118
Uruguai,1637.2432,3042.8307,2284.7028,2701.7393,2602.3965,2544.409
Xingu,8031.448252142857,8285.32148,7245.145201428571,5840.664516428571,4736.311505714285,3637.686988571429
