REGIAO,ENA1_sDIF,ENA2_sDIF,ENA3_sDIF,ENA4_sDIF,ENA5_sDIF,ENA6_sDIF
Nordeste,-4.450100000000084,-187.0922,-376.9330000000001,-252.47530000000015,-123.66989999999998,31.963599999999843
Norte,-0.5311000000000945,6.479000000000013,122.4952000000007,318.30330000000043,1471.0830000000005,1479.7740999999996
Sudeste,-92.36072105263199,-5.333610526315271,-944.5758263157898,-934.6559789473682,-149.61720000000105,-174.44742105263327
Sul,-16.21820000000004,-3.5298000000001437,-267.1654,-3211.4541,-1843.7928999999997,-802.2106000000001
