REGIAO,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6
Nordeste,6246.6754,4723.8653,3220.3575,2863.2738,2716.2090000000003,2742.2812000000004
Norte,22608.128952142855,20056.82558,17231.02930142857,14584.102916428572,13370.926205714286,11219.814688571429
Sudeste,37258.608621052634,34745.610705263156,30922.4571,28744.45690526316,28786.093984210525,27884.852489473684
Sul,6062.6851,10770.2919,10775.7768,9536.0659,10126.3295,8502.242400000001
