Posto,NOME,PRODUTIBILIDADE,Tipo,S1,S2,S3,S4,S5,S6,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6,BACIA,REGIAO
001,CAMARGOS,0.2076,NAT,66,62,59,56,55,53,13.701600000000001,12.8712,12.2484,11.6256,11.418000000000001,11.0028,Grande,Sudeste
002,ITUTINGA,0.2437,NAT,66,62,59,56,55,53,16.0842,15.1094,14.3783,13.6472,13.4035,12.9161,Grande,Sudeste
006,FURNAS,0.813,NAT,451,407,377,359,354,350,366.66299999999995,330.89099999999996,306.501,291.86699999999996,287.80199999999996,284.54999999999995,Grande,Sudeste
007,MASC. DE MORAES,0.3471,NAT,540,485,441,418,412,406,187.434,168.3435,153.0711,145.08780000000002,143.0052,140.92260000000002,Grande,Sudeste
008,ESTREITO,0.5437,NAT,561,503,456,432,426,419,305.0157,273.48109999999997,247.92719999999997,234.87839999999997,231.6162,227.81029999999998,Grande,Sudeste
009,JAGUARA,0.3944,NAT,571,512,462,438,431,425,225.20239999999998,201.9328,182.2128,172.7472,169.98639999999997,167.61999999999998,Grande,Sudeste
010,IGARAPAVA,0.1523,NAT,598,535,480,454,447,440,91.07539999999999,81.48049999999999,73.104,69.1442,68.07809999999999,67.012,Grande,Sudeste
011,VOLTA GRANDE,0.2482,NAT,654,583,519,490,483,474,162.3228,144.7006,128.8158,121.618,119.8806,117.6468,Grande,Sudeste
012,P COLOMBIA,0.2012,NAT,808,721,642,605,593,580,162.56959999999998,145.0652,129.1704,121.726,119.3116,116.696,Grande,Sudeste
014,CACONDE,0.8259,NAT,31,28,27,26,25,25,25.602899999999998,23.1252,22.2993,21.473399999999998,20.6475,20.6475,Grande,Sudeste
015,EUC DA CUNHA,0.7502,NAT,51,47,45,42,41,41,38.2602,35.2594,33.759,31.508399999999998,30.7582,30.7582,Grande,Sudeste
016,LIMOEIRO,0.2209,NAT,52,48,45,43,42,41,11.4868,10.603200000000001,9.9405,9.498700000000001,9.277800000000001,9.0569,Grande,Sudeste
017,MARIMBONDO,0.5183,NAT,1187,1069,963,914,901,894,615.2221,554.0627,499.12289999999996,473.7262,466.9883,463.36019999999996,Grande,Sudeste
018,AGUA VERMELHA,0.4625,NAT,1359,1222,1088,1034,1017,1014,628.5375,565.1750000000001,503.20000000000005,478.225,470.3625,468.975,Grande,Sudeste
020,,,,,,,,,,,,,,,,Paranaíba,Sudeste
022,BATALHA,0.3551,NAT,61,56,54,51,48,46,21.6611,19.8856,19.1754,18.110100000000003,17.044800000000002,16.334600000000002,Paranaíba,Sudeste
023,CORUMBA III,0.3471,NAT,94,80,75,71,67,63,32.6274,27.768,26.032500000000002,24.6441,23.2557,21.8673,Paranaíba,Sudeste
024,EMBORCACAO,1.1582,NAT,305,276,264,250,237,231,353.251,319.66319999999996,305.7648,289.54999999999995,274.49339999999995,267.5442,Paranaíba,Sudeste
025,NOVA PONTE,0.9669,NAT,246,223,217,207,200,194,237.85739999999998,215.6187,209.8173,200.1483,193.38,187.5786,Paranaíba,Sudeste
028,CAPIM BRANCO 2,0.4169,NAT,265,236,228,217,210,203,110.4785,98.3884,95.0532,90.4673,87.54899999999999,84.6307,Paranaíba,Sudeste
031,ITUMBIARA,0.7027,NAT,1072,955,908,862,825,798,753.2944,671.0785,638.0516,605.7274,579.7275,560.7546,Paranaíba,Sudeste
032,CACH DOURADA,0.2702,NAT,1123,1000,948,901,863,835,303.4346,270.2,256.1496,243.4502,233.1826,225.617,Paranaíba,Sudeste
033,SAO SIMAO,0.6355,NAT,1744,1566,1482,1412,1357,1317,1108.312,995.193,941.8109999999999,897.3259999999999,862.3734999999999,836.9535,Paranaíba,Sudeste
034,ILHA SOLTEIRA,0.3869,NAT,3705,3304,3045,2910,2831,2801,1433.4645,1278.3176,1178.1105,1125.8790000000001,1095.3139,1083.7069000000001,Alto Paraná,Sudeste
037,BARRA BONITA,0.1776,ART,173.5,191.0,195.4,190.1,228.8,207.9,30.8136,33.9216,34.70304,33.76176,40.63488,36.92304,Tietê,Sudeste
038,BARIRI,0.1848,ART,226.5,247.0,246.4,240.1,277.8,256.9,41.8572,45.645599999999995,45.53472,44.37048,51.33744,47.47512,Tietê,Sudeste
039,IBITINGA,0.1737,ART,330.5,351.0,345.4,335.1,371.8,349.9,57.407849999999996,60.9687,59.995979999999996,58.20687,64.58166,60.777629999999995,Tietê,Sudeste
040,PROMISSAO,0.213,ART,381.5,409.0,401.4,391.1,433.8,419.9,81.2595,87.117,85.4982,83.3043,92.3994,89.4387,Tietê,Sudeste
042,N.AVANHANDAVA,0.2784,ART,404.5,430.0,423.4,413.1,458.8,447.9,112.6128,119.71199999999999,117.87455999999999,115.00704,127.72991999999999,124.69535999999998,Tietê,Sudeste
043,TRES IRMAOS,0.4025,ART,436.5,432.0,435.4,425.1,469.8,459.9,175.69125,173.88000000000002,175.2485,171.10275000000001,189.0945,185.10975,Tietê,Sudeste
044,,,ART,4142.5,3739.0,3480.4,3336.1,3300.8,3261.9,,,,,,,Alto Paraná,Sudeste
045,JUPIA,0.18,ART,4444.5,4015.0,3733.4,3580.1,3540.8,3511.9,800.01,722.6999999999999,672.012,644.418,637.344,632.1419999999999,Alto Paraná,Sudeste
046,P.PRIMAVERA,0.1754,ART,5222.5,4717.0,4342.4,4147.1,4087.8,4109.9,916.0265,827.3618,761.6569599999999,727.4013400000001,717.00012,720.87646,Baixo Paraná,Sudeste
047,JURUMIRIM,0.2907,NAT,55,91,67,65,81,105,15.9885,26.4537,19.4769,18.895500000000002,23.5467,30.523500000000002,Paranapanema (SE),Sudeste
048,PIRAJU,0.2306,NAT,56,93,68,66,83,108,12.9136,21.4458,15.6808,15.2196,19.1398,24.9048,Paranapanema (SE),Sudeste
049,CHAVANTES,0.6177,NAT,85,139,98,87,130,158,52.5045,85.86030000000001,60.534600000000005,53.739900000000006,80.301,97.59660000000001,Paranapanema (SE),Sudeste
050,LUCAS GARCEZ,0.1483,NAT,150,236,204,177,219,258,22.244999999999997,34.998799999999996,30.253199999999996,26.2491,32.4777,38.261399999999995,Paranapanema (SE),Sudeste
051,CANOAS 2,0.1288,NAT,154,245,229,199,241,282,19.8352,31.556,29.4952,25.6312,31.0408,36.3216,Paranapanema (SE),Sudeste
052,CANOAS 1,0.1489,NAT,164,262,221,192,234,274,24.4196,39.0118,32.9069,28.5888,34.842600000000004,40.7986,Paranapanema (SE),Sudeste
053,PARANAPANEMA,0.1275,NAT,56,93,68,66,83,108,7.140000000000001,11.8575,8.67,8.415000000000001,10.5825,13.77,Paranapanema (SE),Sudeste
054,,,,,,,,,,,,,,,,Paranapanema (S),Sul
055,,,,,,,,,,,,,,,,Paranapanema (S),Sul
057,GOV JAYME CANET JR,1.0494,NAT,137,215,233,220,285,279,143.76780000000002,225.62100000000004,244.51020000000003,230.86800000000002,299.079,292.78260000000006,Paranapanema (S),Sul
058,,,,,,,,,,,,,,,,Paranapanema (S),Sul
061,CAPIVARA,0.3744,NAT,488,893,717,616,747,814,182.7072,334.3392,268.4448,230.6304,279.6768,304.7616,Paranapanema (SE),Sudeste
062,TAQUARUÇU,0.2221,NAT,502,945,768,653,786,857,111.49419999999999,209.8845,170.5728,145.0313,174.57059999999998,190.3397,Paranapanema (SE),Sudeste
063,ROSANA,0.1841,NAT,563,1045,890,738,875,958,103.6483,192.3845,163.84900000000002,135.8658,161.0875,176.36780000000002,Paranapanema (SE),Sudeste
065,,,,,,,,,,,,,,,,Iguaçu,Sul
066,ITAIPU ART.,1.0244,ART,7366.5,7675.0,7406.4,6958.1,7032.8,7029.9,7546.2426,7862.2699999999995,7587.11616,7127.877640000001,7204.40032,7201.42956,Baixo Paraná,Sudeste
070,,,,,,,,,,,,,,,,Iguaçu,Sul
071,STA CLARA PR,0.8126,NAT,198,209,264,277,206,138,160.8948,169.8334,214.5264,225.0902,167.3956,112.1388,Iguaçu,Sul
072,FUNDÃO,0.8307,NAT,202,222,276,290,216,145,167.8014,184.4154,229.2732,240.903,179.4312,120.4515,Iguaçu,Sul
073,JORDÃO NAT.,0.0,NAT,229,262,321,340,255,175,0.0,0.0,0.0,0.0,0.0,0.0,Iguaçu,Sul
074,FOZ DO AREIA,1.0938,NAT,386,912,1140,1371,1312,865,422.20680000000004,997.5456000000001,1246.932,1499.5998000000002,1435.0656000000001,946.1370000000001,Iguaçu,Sul
075,SEGREDO,0.904,ART,659.5,1284.5,1547.5,1804.5,1686.5,1182.0,596.188,1161.188,1398.94,1631.268,1524.596,1068.528,Iguaçu,Sul
076,,,NAT,486,1111,1374,1631,1513,1017,,,,,,,Iguaçu,Sul
077,SLT SANTIAGO,0.8921,NAT,826,1517,1880,2214,1969,1345,736.8746,1353.3157,1677.148,1975.1094,1756.5449,1199.8745,Iguaçu,Sul
078,SALTO OSORIO,0.5747,NAT,824,1582,1952,2309,2048,1406,473.5528,909.1754,1121.8144,1326.9823,1176.9856,808.0282,Iguaçu,Sul
080,,,,,,,,,,,,,,,,Iguaçu,Sul
081,BAIXO IGUAÇU,0.1458,NAT,1359,2069,2592,3150,2745,1938,198.14220000000003,301.66020000000003,377.91360000000003,459.27000000000004,400.22100000000006,282.5604,Iguaçu,Sul
083,,,,,,,,,,,,,,,,Iguaçu,Sul
085,,,,,,,,,,,,,,,,Uruguai,Sul
088,SAO ROQUE,0.4335,NAT,98,169,151,160,149,148,42.483,73.2615,65.4585,69.36,64.5915,64.158,Uruguai,Sul
089,GARIBALDI,0.3691,NAT,108,204,185,195,183,180,39.8628,75.29639999999999,68.2835,71.97449999999999,67.5453,66.438,Uruguai,Sul
092,ITÁ,0.9097,NAT,427,911,653,830,778,752,388.4419,828.7366999999999,594.0341,755.0509999999999,707.7466,684.0944,Uruguai,Sul
093,PASSO FUNDO,2.2252,NAT,50,70,45,61,50,45,111.26,155.764,100.134,135.7372,111.26,100.134,Uruguai,Sul
094,FOZ CHAPECO,0.4506,NAT,594,1150,850,1061,963,925,267.6564,518.19,383.01,478.0866,433.9278,416.805,Uruguai,Sul
096,,,NAT,20,77,39,50,61,66,,,,,,,,
097,MONTE CLARO,0.3541,NAT,52,263,102,141,170,178,18.4132,93.12830000000001,36.1182,49.9281,60.197,63.0298,Jacuí,Sul
098,CASTRO ALVES,0.7676,NAT,28,173,56,82,99,101,21.4928,132.79479999999998,42.9856,62.9432,75.99239999999999,77.52759999999999,Jacuí,Sul
099,ESPORA,0.4021,NAT,53,50,51,51,51,51,21.3113,20.105,20.5071,20.5071,20.5071,20.5071,Paranaíba,Sudeste
100,,,,,,,,,,,,,,,,Uruguai,Sul
101,SALTO PILAO,1.7641,NAT,52,60,131,156,123,83,91.7332,105.846,231.0971,275.1996,216.9843,146.4203,Itajaí-Açu,Sul
102,SÃO JOSÉ,0.1878,NAT,440,396,226,175,165,161,82.63199999999999,74.3688,42.4428,32.865,30.987,30.235799999999998,Uruguai,Sul
103,PASSO SÃO JOÃO,0.2545,NAT,459,410,235,182,171,167,116.8155,104.345,59.8075,46.319,43.5195,42.5015,Uruguai,Sul
104,,,NAT,30,25,13,14,23,15,,,,,,,Alto Tietê,Sudeste
109,,,NAT,12,11,7,8,12,8,,,,,,,Alto Tietê,Sudeste
110,ERNESTINA,0.0,NAT,10,28,18,23,27,26,0.0,0.0,0.0,0.0,0.0,0.0,Jacuí,Sul
111,PASSO REAL,0.3682,NAT,215,287,178,182,200,199,79.16300000000001,105.6734,65.53960000000001,67.0124,73.64,73.2718,Jacuí,Sul
112,JACUI,0.7951,NAT,219,293,179,183,202,201,174.1269,232.9643,142.3229,145.5033,160.6102,159.8151,Jacuí,Sul
113,ITAUBA,0.7554,NAT,291,430,214,210,246,237,219.82139999999998,324.822,161.6556,158.634,185.8284,179.0298,Jacuí,Sul
114,D.FRANCISCA,0.3356,NAT,368,582,252,240,294,277,123.5008,195.3192,84.5712,80.544,98.6664,92.9612,Jacuí,Sul
115,CAP.CACH.,6.3542,NAT,16,11,12,11,12,10,101.6672,69.8962,76.2504,69.8962,76.2504,63.541999999999994,Capivari,Sul
116,,,NAT,2,2,1,2,2,1,,,,,,,Alto Tietê,Sudeste
117,,,NAT,18,14,6,6,10,7,,,,,,,Alto Tietê,Sudeste
118,,,NAT,12,11,7,8,12,8,,,,,,,Alto Tietê,Sudeste
119,,,NAT,15,13,9,10,16,10,,,,,,,Alto Tietê,Sudeste
120,JAGUARI,0.5163,NAT,19,18,18,17,19,18,9.8097,9.2934,9.2934,8.777099999999999,9.8097,9.2934,Paraíba do Sul,Sudeste
121,PARAIBUNA,0.7007,NAT,49,40,39,39,45,40,34.3343,28.028,27.3273,27.3273,31.5315,28.028,Paraíba do Sul,Sudeste
122,SANTA BRANCA,0.3679,NAT,56,46,45,45,52,45,20.6024,16.9234,16.5555,16.5555,19.1308,16.5555,Paraíba do Sul,Sudeste
123,FUNIL,0.5575,NAT,123,133,109,106,124,113,68.5725,74.1475,60.7675,59.095,69.13,62.9975,Paraíba do Sul,Sudeste
125,,,NAT,96,119,138,135,155,142,,,,,,,Paraíba do Sul,Sudeste
126,SIMPLÍCIO ART.,0.9762,ART,121.8736842105263,108.46842105263158,61.56842105263158,57.44736842105263,63.92105263157896,58.06315789473683,118.97309052631577,105.88687263157895,60.103092631578946,56.080121052631576,62.399731578947375,56.68125473684209,Paraíba do Sul,Sudeste
127,,,ART,211.8736842105263,198.46842105263158,151.56842105263158,147.44736842105263,153.92105263157896,148.06315789473683,,,,,,,Paraíba do Sul,Sudeste
129,,,NAT,284,284,248,242,261,245,,,,,,,Paraíba do Sul,Sudeste
130,,,NAT,317,310,278,271,290,272,,,,,,,Paraíba do Sul,Sudeste
131,NILO PEÇANHA,2.6871,ART,64.1263157894737,77.53157894736842,89.43157894736842,88.55263157894737,101.07894736842105,91.93684210526315,172.31382315789477,208.3351057894737,240.3115957894737,237.94977631578948,271.6092394736842,247.04348842105261,Paraíba do Sul,Sudeste
132,,,ART,12,11,10,9,9,7,,,,,,,Paraíba do Sul,Sudeste
134,SALTO GRANDE,0.802,NAT,71,64,65,62,61,63,56.942,51.328,52.13,49.724000000000004,48.922000000000004,50.526,Doce,Sudeste
135,BARRA BRAUNA,0.2094,NAT,87,78,78,76,75,73,18.2178,16.3332,16.3332,15.9144,15.705,15.286200000000001,Paraíba do Sul,Sudeste
141,BAGUARI,0.1698,NAT,338,299,299,291,288,289,57.3924,50.7702,50.7702,49.4118,48.9024,49.0722,Doce,Sudeste
144,MASCARENHAS,0.1989,NAT,495,432,431,420,416,418,98.4555,85.92479999999999,85.7259,83.538,82.7424,83.1402,Doce,Sudeste
145,RONDON II,0.5244,NAT,139,115,109,107,103,90,72.8916,60.306,57.1596,56.1108,54.0132,47.196,Amazonas (SE),Sudeste
148,AIMORÉS,0.2558,NAT,399,348,346,337,334,335,102.06420000000001,89.01840000000001,88.50680000000001,86.20460000000001,85.4372,85.69300000000001,Doce,Sudeste
149,CANDONGA,0.4503,NAT,96,89,88,85,85,83,43.2288,40.076699999999995,39.6264,38.2755,38.2755,37.3749,Doce,Sudeste
154,SAO DOMINGOS,0.3071,NAT,92,90,83,83,83,85,28.2532,27.639,25.4893,25.4893,25.4893,26.1035,Baixo Paraná,Sudeste
155,RETIRO BAIXO,0.3346,NAT,88,79,77,73,70,68,29.4448,26.4334,25.764200000000002,24.425800000000002,23.422,22.7528,São Francisco (SE),Sudeste
156,TRES MARIAS,0.436,NAT,421,358,332,309,292,283,183.556,156.088,144.752,134.724,127.312,123.388,São Francisco (SE),Sudeste
158,QUEIMADO,1.6404,NAT,38,33,33,31,30,28,62.3352,54.1332,54.1332,50.8524,49.212,45.931200000000004,São Francisco (SE),Sudeste
160,,,,,,,,,,,,,,,,Alto Tietê,Sudeste
161,,,NAT,55,45,49,53,84,56,,,,,,,Alto Tietê,Sudeste
164,,,,,,,,,,,,,,,,Alto Tietê,Sudeste
166,,,NAT,2734,2895,3209,3006,2984,2953,,,,,,,Baixo Paraná,Sudeste
