BACIA,REGIAO,ENA1_sDIF,ENA2_sDIF,ENA3_sDIF,ENA4_sDIF,ENA5_sDIF,ENA6_sDIF
Alto Paraná,Sudeste,-0.01800000000014279,-0.018000000000029104,-0.5669000000001461,0.3871000000000322,-0.9806999999999562,-48.060700000000224
Alto Tietê,Sudeste,-5.112720000000024,-10.793520000000001,-5.6807999999999765,-7.385040000000004,-11.361599999999996,-2.2723199999999792
Amazonas (N),Norte,-0.37589999999998724,-0.2079999999999984,-0.20799999999997,8.605600000000067,22.129999999999995,35.86590000000004
Amazonas (SE),Sudeste,-0.504700000000021,-0.7667000000000428,5.988400000000404,2.5894999999995143,15.107900000000818,475.4034000000001
Amazonas total,Total,-0.8806000000000083,-0.9747000000000412,5.780400000000434,11.19509999999958,37.23790000000081,511.26930000000016
Araguari,Norte,-0.32010000000008176,-0.14060000000000628,0.0,4.990499999999884,1.8800000000001091,6.579999999999927
Baixo Paraná,Sudeste,-0.42707999999971236,0.7727200000004935,82.80099999999959,67.99833999999919,49.69739999999979,28.42371999999942
Capivari,Sul,-6.354200000000006,-6.354199999999992,0.0,0.0,-6.354200000000006,6.354199999999992
Doce,Sudeste,-3.1728999999999843,-1.7159999999999869,0.6244999999999905,-4.279100000000007,-3.0177999999999976,-3.9217000000000226
Grande,Sudeste,-0.695999999999998,-3.5571000000000073,22.61159999999989,-9.569299999999947,-11.088399999999918,-87.28189999999996
Iguaçu,Sul,-1.9468999999998857,-0.8126000000000033,-1.6534000000000333,16.49590000000009,-2.1783000000000072,268.24690000000004
Itabapoana,Sudeste,-1.6903000000000006,0.0,-1.690299999999997,-1.6903000000000006,0.0,-1.6903000000000006
Itajaí-Açu,Sul,0.0,-1.7640999999999991,-1.7640999999999991,0.0,-1.7640999999999991,0.0
Jacuí,Sul,-3.021899999999974,-0.72229999999999,-1.121699999999997,-3.287600000000012,12.227799999999995,108.35490000000004
Jequitinhonha (NE),Nordeste,-0.7150000000000034,0.0,-0.7149999999999963,-0.7149999999999963,-0.7150000000000034,-0.7150000000000034
Jequitinhonha (SE),Sudeste,0.0,-1.4532999999999987,0.0,0.0,-1.4533000000000058,0.0
Jequitinhonha total,Total,-0.7150000000000034,-1.4532999999999987,-0.7149999999999963,-0.7149999999999963,-2.168300000000009,-0.7150000000000034
Mucuri,Sudeste,-0.44950000000000045,-0.44950000000000045,0.0,-0.4494999999999969,-0.44950000000000045,0.0
Paraguai,Sudeste,-2.9221000000000004,-2.718600000000002,-2.500400000000006,-1.4376999999999995,-2.500400000000006,-11.962000000000003
Paraguaçu,Nordeste,0.0,-0.9483000000000033,-0.9482999999999997,0.0,-0.9482999999999997,-0.9482999999999997
Paranapanema (S),Sul,0.0,-1.0493999999999915,-1.0493999999999915,5.247000000000071,3.148200000000031,23.086799999999982
Paranapanema (SE),Sudeste,-0.7898999999999958,-1.7405999999999793,112.66659999999993,99.83959999999983,72.7409,79.57959999999996
Paranapanema total,Total,-0.7898999999999958,-2.7899999999999707,111.61719999999994,105.0865999999999,75.88910000000003,102.66639999999994
Paranaíba,Sudeste,-6.447600000000051,-6.693700000000096,-5.4535000000000196,-5.859000000000126,-4.86460000000001,-101.86029999999998
Paraíba do Sul,Sudeste,-78.1935915789473,-89.48604947368423,-62.50281157894741,-28.958154736842086,-28.162406315789468,-42.83181263157893
Parnaíba,Nordeste,0.0,0.0,0.0,0.0,0.0,-3.0271999999999935
Santa Maria da Vitória,Sudeste,-2.113199999999999,-2.113200000000001,-2.113200000000001,-2.113200000000001,-2.113200000000001,0.0
São Francisco (NE),Nordeste,-2.786800000000028,-0.24490000000002965,-191.0168000000004,-236.87800000000013,-91.96439999999998,13.934000000000111
São Francisco (SE),Sudeste,-2.0764000000000067,-2.4109999999999765,-0.43600000000000705,-0.7706000000000053,-2.7456000000000067,-6.132199999999997
São Francisco total,Total,-4.863200000000035,-2.655900000000006,-191.4528000000004,-237.64860000000013,-94.71,7.801800000000114
Tietê,Sudeste,0.13540000000000418,0.4866999999999706,-0.22489999999997679,1.9953000000000003,1.245200000000004,-1.6417000000000215
Tocantins (N),Norte,-0.21100000000001273,0.0,-0.7605999999993855,0.5496000000002823,-0.5496000000002823,-19.18679999999972
Tocantins (SE),Sudeste,-1.5867999999999824,-1.4271999999999423,-1.973600000000033,-0.5464000000000055,-1.9994999999999834,-31.518599999999935
Tocantins total,Total,-1.7977999999999952,-1.4271999999999423,-2.7341999999994187,0.0032000000002767592,-2.5491000000002657,-50.705399999999656
Uruguai,Sul,-3.841300000000018,-4.616700000000087,-6.452499999999965,0.5744000000000007,1.4099999999999966,211.8988
Xingu,Norte,0.0,0.0,0.0,0.8184999999994034,14.733000000000175,264.3755000000001
