Posto,NOME,PRODUTIBILIDADE,Tipo,S1,S2,S3,S4,S5,S6,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6,BACIA,REGIAO
228,COLIDER,0.2078,NAT,1050,934,807,764,724,654,218.19000000000003,194.08520000000001,167.6946,158.75920000000002,150.4472,135.90120000000002,Amazonas (SE),Sudeste
229,TELES PIRES,0.5054,NAT,3099,2469,1993,1702,1519,1395,1566.2345999999998,1247.8326,1007.2621999999999,860.1908,767.7026,705.0329999999999,Amazonas (SE),Sudeste
230,SAO MANOEL,0.2267,NAT,3142,2506,2020,1710,1526,1408,712.2914000000001,568.1102000000001,457.934,387.65700000000004,345.9442,319.1936,Amazonas (SE),Sudeste
237,,,NAT,204,214,226,247,201,233,,,,,,,Tietê,Sudeste
238,,,NAT,256,266,271,293,244,277,,,,,,,Tietê,Sudeste
239,,,NAT,360,360,356,381,325,362,,,,,,,Tietê,Sudeste
240,,,NAT,412,411,400,437,377,426,,,,,,,Tietê,Sudeste
241,SLT VERDINHO,0.3742,NAT,122,112,105,106,103,103,45.6524,41.910399999999996,39.291,39.6652,38.5426,38.5426,Paranaíba,Sudeste
242,,,NAT,435,430,416,459,397,452,,,,,,,Tietê,Sudeste
243,,,NAT,469,444,421,472,410,464,,,,,,,Tietê,Sudeste
244,,,NAT,4157,3737,3448,3377,3211,3264,,,,,,,Alto Paraná,Sudeste
245,,,NAT,4461,4021,3707,3634,3460,3507,,,,,,,Alto Paraná,Sudeste
246,,,NAT,5244,4735,4488,4454,4167,4126,,,,,,,Baixo Paraná,Sudeste
247,CACU,0.243,NAT,134,119,113,111,107,106,32.562,28.916999999999998,27.459,26.973,26.000999999999998,25.758,Paranaíba,Sudeste
248,B. COQUEIROS,0.3214,NAT,140,124,118,116,111,111,44.996,39.8536,37.925200000000004,37.2824,35.6754,35.6754,Paranaíba,Sudeste
249,OURINHOS,0.0962,NAT,104,156,465,360,200,226,10.0048,15.0072,44.733,34.632,19.24,21.7412,Paranapanema (SE),Sudeste
251,SERRA FACAO,0.6489,NAT,102,91,85,80,75,74,66.18780000000001,59.0499,55.1565,51.912000000000006,48.667500000000004,48.0186,Paranaíba,Sudeste
252,ITIQUIRA II,1.2239,NAT,61,57,54,52,51,52,74.6579,69.7623,66.0906,63.6428,62.4189,63.6428,Paraguai,Sudeste
253,SÃO SALVADOR,0.2149,NAT,609,493,431,429,395,383,130.8741,105.9457,92.6219,92.1921,84.88550000000001,82.3067,Tocantins (SE),Sudeste
254,PEDRA DO CAVALO,0.9483,NAT,43,40,33,20,20,20,40.776900000000005,37.932,31.2939,18.966,18.966,18.966,Paraguaçu,Nordeste
255,IRAPÉ,1.4533,NAT,51,44,39,38,36,34,74.1183,63.9452,56.6787,55.2254,52.3188,49.4122,Jequitinhonha (SE),Sudeste
257,PEIXE ANGICAL,0.2408,NAT,1108,856,751,709,650,617,266.8064,206.1248,180.8408,170.72719999999998,156.51999999999998,148.5736,Tocantins (SE),Sudeste
258,,,,,,,,,,,,,,,,Jequitinhonha (NE),Sudeste
259,ITIQUIRA I,0.7685,NAT,61,57,54,52,51,52,46.878499999999995,43.8045,41.498999999999995,39.961999999999996,39.1935,39.961999999999996,Paraguai,Sudeste
260,,,NAT,83,76,73,73,71,71,,,,,,,Paranaíba,Sudeste
261,FOZ DO RIO CLARO,0.2395,NAT,151,134,127,124,120,119,36.1645,32.092999999999996,30.4165,29.698,28.74,28.5005,Paranaíba,Sudeste
262,GUILMAN,1.0066,NAT,39,34,30,31,30,29,39.2574,34.224399999999996,30.197999999999997,31.2046,30.197999999999997,29.191399999999998,Doce,Sudeste
263,PORTO ESTRELA,0.4593,NAT,71,64,60,60,57,56,32.6103,29.3952,27.558,27.558,26.1801,25.7208,Doce,Sudeste
265,,,,,,,,,,,,,,,,Doce,Sudeste
266,,,NAT,7384,7682,9246,9040,7391,7086,,,,,,,Baixo Paraná,Sudeste
267,,,,,,,,,,,,,,,,Doce,Sudeste
269,BALBINA,0.208,NAT,1103,1182,1279,1334,1395,1389,229.42399999999998,245.856,266.032,277.472,290.15999999999997,288.912,Amazonas (N),Norte
270,SERRA DA MESA,1.0404,NAT,468,389,351,357,330,323,486.9072,404.7156,365.1804,371.4228,343.332,336.0492,Tocantins (SE),Sudeste
