REGIAO,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6
Nordeste,6246.9493,4674.1802,3617.7690000000002,3095.8480000000004,2791.629,2680.3786
Norte,22625.788352142856,19867.32318,17677.00170142857,15666.762616428572,13640.897205714284,11722.111988571429
Sudeste,37255.23124210526,34490.89301578947,34736.23247368421,33712.3029631579,28931.280036842105,28137.484531578946
Sul,6027.3441,10704.2851,9456.4265,6567.0153,4901.1018,5548.7175
