BACIA,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6
Alto Paraná,2223.8552,1991.8117,1832.6643,1773.9065,1703.5729000000001,1710.6740000000002
Alto Tietê,201.10031999999998,207.3492,192.57912,148.26888,98.27784,140.31575999999998
Amazonas (N),865.0666,930.9964,1163.3536,1275.0433,1328.89,1252.9642000000001
Amazonas (SE),15010.716699999999,13016.779900000001,11338.4714,11255.909,9456.3318,8874.5188
Araguari,1371.283,1179.0344,1334.2843,1349.2023,1359.8328,1358.6023
Baixo Paraná,8472.147079999999,8685.869999999999,10245.70618,10039.88862,8307.55056,7982.35954
Capivari,108.0214,82.60459999999999,203.3344,101.6672,88.9588,95.31299999999999
Doce,468.05580000000003,408.8875,379.14000000000004,384.2549,371.52750000000003,363.02200000000005
Grande,2898.457,2622.3671999999997,2398.5166,2384.1855,2328.6169,2301.657
Iguaçu,3389.9127,6086.9461,6041.9871,4006.0755,2714.2403,2720.6217
Itabapoana,33.806,33.806,32.1157,30.4254,28.7351,28.7351
Itajaí-Açu,95.2614,107.6101,102.3178,89.9691,68.7999,105.846
Jacuí,655.8264,1183.7133,577.7328,447.6145,440.6829,517.8704
Jequitinhonha (NE),69.355,60.059999999999995,56.485,52.91,50.765,49.335
Jequitinhonha (SE),74.1183,63.9452,56.6787,55.2254,52.3188,49.4122
Mucuri,20.677,19.778,19.328500000000002,19.328500000000002,18.879,17.98
Paraguai,432.7155,390.4308,366.5475,355.78009999999995,347.6857,352.483
Paraguaçu,40.776900000000005,37.932,31.2939,18.966,18.966,18.966
Paranapanema (S),143.76780000000002,237.16440000000003,720.9378,512.1072,338.9562,283.338
Paranapanema (SE),599.5469,1020.2736,2381.3693000000003,1756.4491,1073.9348,1165.767
Paranaíba,3677.9420999999998,3279.4276,3030.0671,2925.7558,2779.4672,2792.0861999999997
Paraíba do Sul,683.0100421052632,697.4596157894737,601.6981736842106,710.5839631578947,664.1396368421052,644.3277315789474
Parnaíba,180.8752,138.8728,123.3584,108.9792,99.5192,98.384
Santa Maria da Vitória,12.6792,10.565999999999999,10.565999999999999,10.565999999999999,10.565999999999999,10.565999999999999
São Francisco (NE),5955.9422,4437.3154,3406.6317000000004,2914.9928,2622.3788,2513.6936
São Francisco (SE),276.1044,233.80540000000002,212.385,200.9194,190.7618,186.2722
Tietê,495.9417,487.7552,476.9055,542.0069,469.7831,527.7536
Tocantins (N),12371.904999999999,9502.2554,7929.307599999999,6362.89,4985.657399999999,4096.96
Tocantins (SE),1674.358,1320.5801000000001,1161.4934,1118.849,1029.1314,989.5544
Uruguai,1634.5544,3006.2466,1810.1166,1409.5818,1249.4637,1825.7284
Xingu,8017.533752142856,8255.03698,7250.0562014285715,6679.627016428572,5966.517005714285,5013.585488571429
