REGIAO,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6
Nordeste,6243.4475,4672.987,3425.0889,2858.255,2698.0013,2689.6221
Norte,22624.881352142856,19866.974580000002,17676.03310142857,15681.72681642857,13679.090605714286,12009.746588571428
Sudeste,37158.98122105263,34377.46948947368,34883.84175263158,33818.7794,28996.498752631578,28377.937763157894
Sul,6012.1798,10688.9658,9444.385400000001,6586.045,4907.5912,6166.6591
