;NOME;PRODUTIBILIDADE;Tipo;S1;S2;S3;S4;S5;S6;ENA1;ENA2;ENA3;ENA4;ENA5;ENA6
063;ROSANA;0.1841;NAT;595;1042;2252;1653;1028;1111;109.5395;191.8322;414.5932;304.31730000000005;189.25480000000002;204.53510000000003
066;ITAIPU ART.;1.0244;ART;7350.6;7648.5;9214.1;9016.9;7374.7;7064.3;7529.95464;7835.1233999999995;9438.92404;9236.91236;7554.64268;7236.66892
071;STA CLARA PR;0.8126;NAT;199;215;235;107;74;97;161.7074;174.709;190.96099999999998;86.9482;60.1324;78.8222
072;FUNDÃO;0.8307;NAT;202;226;243;111;78;103;167.8014;187.7382;201.8601;92.2077;64.7946;85.5621
073;JORDÃO NAT.;0.0;NAT;229;265;274;129;95;126;0.0;0.0;0.0;0.0;0.0;0.0
074;FOZ DO AREIA;1.0938;NAT;376;891;904;668;424;346;411.26880000000006;974.5758000000001;988.7952000000001;730.6584;463.7712;378.45480000000003
075;SEGREDO;0.904;ART;651.5;1258.5;1228.5;880.0;595.0;579.0;588.956;1137.684;1110.564;795.52;537.88;523.416
076;;;NAT;478;1085;1055;761;510;463;;;;;;
077;SLT SANTIAGO;0.8921;NAT;815;1501;1472;970;665;671;727.0615;1339.0421000000001;1313.1712;865.337;593.2465;598.5991
078;SALTO OSORIO;0.5747;NAT;814;1564;1532;1002;688;703;467.8058;898.8308;880.4404;575.8494;395.3936;404.0141
081;BAIXO IGUAÇU;0.1458;NAT;1333;2061;2040;1282;896;989;194.3514;300.4938;297.432;186.9156;130.63680000000002;144.1962
088;SAO ROQUE;0.4335;NAT;98;170;121;93;79;104;42.483;73.695;52.4535;40.3155;34.2465;45.084
089;GARIBALDI;0.3691;NAT;109;201;142;113;97;126;40.231899999999996;74.1891;52.4122;41.7083;35.8027;46.5066
092;ITÁ;0.9097;NAT;427;881;506;403;364;541;388.4419;801.4457;460.3082;366.60909999999996;331.13079999999997;492.1477
093;PASSO FUNDO;2.2252;NAT;50;70;33;22;18;30;111.26;155.764;73.4316;48.9544;40.0536;66.756
094;FOZ CHAPECO;0.4506;NAT;593;1131;705;515;457;671;267.2058;509.6286;317.673;232.059;205.9242;302.3526
096;;;NAT;20;78;34;22;23;35;;;;;;
097;MONTE CLARO;0.3541;NAT;52;276;100;75;75;104;18.4132;97.7316;35.410000000000004;26.5575;26.5575;36.8264
098;CASTRO ALVES;0.7676;NAT;29;185;60;49;48;63;22.260399999999997;142.006;46.056;37.6124;36.8448;48.358799999999995
099;ESPORA;0.4021;NAT;54;50;45;45;45;45;21.7134;20.105;18.0945;18.0945;18.0945;18.0945
101;SALTO PILAO;1.7641;NAT;54;61;58;51;39;60;95.2614;107.6101;102.3178;89.9691;68.7999;105.846
102;SÃO JOSÉ;0.1878;NAT;440;389;239;165;143;143;82.63199999999999;73.0542;44.8842;30.987;26.8554;26.8554
103;PASSO SÃO JOÃO;0.2545;NAT;459;401;252;172;148;149;116.8155;102.0545;64.134;43.774;37.666000000000004;37.920500000000004
104;;;NAT;31;32;28;18;13;17;;;;;;
109;;;NAT;13;13;12;10;7;9;;;;;;
110;ERNESTINA;0.0;NAT;10;25;9;10;9;17;0.0;0.0;0.0;0.0;0.0;0.0
111;PASSO REAL;0.3682;NAT;216;283;167;147;143;159;79.53120000000001;104.20060000000001;61.4894;54.125400000000006;52.65260000000001;58.543800000000005
112;JACUI;0.7951;NAT;220;289;170;148;144;160;174.922;229.78390000000002;135.167;117.6748;114.4944;127.21600000000001
113;ITAUBA;0.7554;NAT;292;432;226;166;164;187;220.5768;326.33279999999996;170.72039999999998;125.3964;123.8856;141.25979999999998
114;D.FRANCISCA;0.3356;NAT;369;590;287;186;186;216;123.8364;198.00400000000002;96.3172;62.421600000000005;62.421600000000005;72.4896
115;CAP.CACH.;6.3542;NAT;17;13;32;16;14;15;108.0214;82.60459999999999;203.3344;101.6672;88.9588;95.31299999999999
116;;;NAT;2;3;2;3;1;3;;;;;;
117;;;NAT;18;19;16;8;6;8;;;;;;
118;;;NAT;13;13;12;10;7;9;;;;;;
119;;;NAT;15;16;14;13;8;12;;;;;;
120;JAGUARI;0.5163;NAT;19;19;20;20;18;19;9.8097;9.8097;10.326;10.326;9.2934;9.8097
121;PARAIBUNA;0.7007;NAT;50;41;38;49;45;43;35.035;28.7287;26.6266;34.3343;31.5315;30.1301
122;SANTA BRANCA;0.3679;NAT;56;48;43;56;51;49;20.6024;17.6592;15.819700000000001;20.6024;18.762900000000002;18.0271
123;FUNIL;0.5575;NAT;124;135;116;142;135;130;69.13;75.2625;64.67;79.165;75.2625;72.475
125;;;NAT;154;167;146;174;168;163;;;;;;
126;SIMPLÍCIO ART.;0.9762;ART;84.54736842105262;84.40526315789475;52.557894736842115;75.02105263157895;64.77894736842106;60.91052631578947;82.53514105263157;82.39641789473686;51.30701684210527;73.23555157894737;63.237208421052635;59.460855789473676
127;;;ART;174.54736842105262;174.40526315789475;142.55789473684212;165.02105263157895;154.77894736842106;150.91052631578947;;;;;;
129;;;NAT;284;291;247;286;270;263;;;;;;
130;;;NAT;317;319;269;312;293;286;;;;;;
131;NILO PEÇANHA;2.6871;ART;100.45263157894736;108.59473684210526;97.4421052631579;112.97894736842105;108.22105263157894;105.08947368421053;269.92626631578946;291.80491736842106;261.8366810526316;303.5857294736842;290.8007905263158;282.3859247368421
132;;;ART;13;12;10;12;10;10;;;;;;
134;SALTO GRANDE;0.802;NAT;71;64;60;60;57;56;56.942;51.328;48.120000000000005;48.120000000000005;45.714000000000006;44.912000000000006
135;BARRA BRAUNA;0.2094;NAT;87;79;82;82;77;77;18.2178;16.5426;17.1708;17.1708;16.1238;16.1238
141;BAGUARI;0.1698;NAT;338;294;275;278;270;264;57.3924;49.9212;46.695;47.2044;45.846000000000004;44.827200000000005
144;MASCARENHAS;0.1989;NAT;496;423;395;400;390;382;98.6544;84.1347;78.5655;79.56;77.571;75.9798
145;RONDON II;0.5244;NAT;139;113;103;101;99;90;72.8916;59.2572;54.0132;52.9644;51.9156;47.196
148;AIMORÉS;0.2558;NAT;399;342;319;322;313;306;102.06420000000001;87.48360000000001;81.60020000000002;82.36760000000001;80.06540000000001;78.27480000000001
149;CANDONGA;0.4503;NAT;97;88;83;85;82;80;43.6791;39.6264;37.3749;38.2755;36.9246;36.024
154;SAO DOMINGOS;0.3071;NAT;92;85;82;84;81;84;28.2532;26.1035;25.182199999999998;25.7964;24.8751;25.7964
155;RETIRO BAIXO;0.3346;NAT;88;77;71;69;67;65;29.4448;25.764200000000002;23.7566;23.087400000000002;22.4182;21.749000000000002
156;TRES MARIAS;0.436;NAT;419;353;316;295;277;272;182.684;153.908;137.776;128.62;120.772;118.592
158;QUEIMADO;1.6404;NAT;39;33;31;30;29;28;63.9756;54.1332;50.8524;49.212;47.571600000000004;45.931200000000004
161;;;NAT;55;47;67;69;46;64;;;;;;
166;;;NAT;2263;2850;4360;4224;3290;2871;;;;;;
168;;;NAT;1153;781;721;649;587;574;;;;;;
169;SOBRADINHO;0.2449;NAT;2005;1418;1195;1046;941;902;491.0245;347.26820000000004;292.6555;256.16540000000003;230.45090000000002;220.8998
171;;;NAT;0;0;0;0;0;0;;;;;;
172;LUIZ GONZAGA;0.4425;NAT;2130;1573;1217;1046;941;902;942.525;696.0525;538.5225;462.855;416.3925;399.135
173;;;NAT;2130;1573;1217;1046;941;902;;;;;;
175;;;NAT;2130;1573;1217;1046;941;902;;;;;;
176;COMPLEXO;1.0213;NAT;2130;1573;1217;1046;941;902;2175.369;1606.5049000000001;1242.9221000000002;1068.2798;961.0433;921.2126000000001
178;XINGÓ;1.0781;NAT;2177;1658;1236;1046;941;902;2347.0237;1787.4898;1332.5316;1127.6926;1014.4921;972.4462000000001
183;A. DIAS + SÁ CARVALHO;0.9364;NAT;40;35;31;32;31;30;37.456;32.774;29.0284;29.9648;29.0284;28.092
188;ITAPEBI;0.715;NAT;97;84;79;74;71;69;69.355;60.059999999999995;56.485;52.91;50.765;49.335
190;B. ESPERANCA;0.3784;NAT;478;367;326;288;263;260;180.8752;138.8728;123.3584;108.9792;99.5192;98.384
191;CANA BRAVA;0.3868;NAT;536;440;391;393;363;353;207.32479999999998;170.19199999999998;151.2388;152.01239999999999;140.4084;136.5404
196;ROSAL;1.6903;NAT;20;20;19;18;17;17;33.806;33.806;32.1157;30.4254;28.7351;28.7351
197;PICADA;1.1546;NAT;19;19;19;19;18;17;21.9374;21.9374;21.9374;21.9374;20.7828;19.6282
198;SOBRAGI;0.7164;NAT;39;38;36;36;35;35;27.939600000000002;27.223200000000002;25.7904;25.7904;25.074;25.074
201;;;NAT;9;8;7;8;7;7;;;;;;
202;;;NAT;4;4;3;4;3;3;;;;;;
203;;;NAT;13;12;13;12;10;10;;;;;;
204;CACHOEIRA CALDEIRAO;0.1406;NAT;2905;2498;2828;2857;2880;2877;408.443;351.2188;397.6168;401.6942;404.928;404.50620000000004
205;CORUMBA IV;0.5836;NAT;73;62;58;54;51;49;42.6028;36.1832;33.8488;31.514400000000002;29.7636;28.5964
206;MIRANDA;0.6195;NAT;259;231;211;209;198;202;160.4505;143.1045;130.71450000000002;129.4755;122.66100000000002;125.13900000000001
207;CAPIM BRANCO 1;0.5114;NAT;261;232;212;210;199;203;133.47539999999998;118.64479999999999;108.4168;107.39399999999999;101.76859999999999;103.8142
209;CORUMBA I;0.6294;NAT;268;237;220;209;197;193;168.67919999999998;149.1678;138.468;131.5446;123.9918;121.4742
211;FUNIL-GRANDE;0.3549;NAT;161;150;140;141;137;135;57.1389;53.235;49.686;50.0409;48.6213;47.9115
213;SUIÇA;2.1132;NAT;6;5;5;5;5;5;12.6792;10.565999999999999;10.565999999999999;10.565999999999999;10.565999999999999;10.565999999999999
215;BARRA GRANDE;1.4153;NAT;70;197;87;79;75;136;99.071;278.8141;123.1311;111.8087;106.1475;192.4808
216;CAMPOS NOVOS;1.6063;NAT;114;213;155;124;106;139;183.1182;342.1419;248.97650000000002;199.18120000000002;170.2678;223.2757
217;MACHADINHO;0.8779;NAT;269;555;337;274;248;379;236.1551;487.2345;295.8523;240.5446;217.7192;332.7241
220;MONJOLINHO;0.54;NAT;86;118;58;38;31;51;46.440000000000005;63.720000000000006;31.32;20.520000000000003;16.740000000000002;27.540000000000003
221;;;ART;5;9;4;4;3;4;;;;;;
222;SALTO CAXIAS;0.5596;NAT;1199;1919;1892;1202;837;907;670.9603999999999;1073.8724;1058.7631999999999;672.6392;468.3852;507.55719999999997
224;;;NAT;5;9;4;4;3;4;;;;;;
225;SALTO APIACÁS;0.2218;NAT;290;207;160;132;105;84;64.322;45.9126;35.488;29.2776;23.289;18.6312
226;JURUENA;0.2969;NAT;146;142;140;138;136;134;43.3474;42.1598;41.566;40.9722;40.3784;39.7846
227;SINOP;0.2431;NAT;950;840;736;699;662;603;230.94500000000002;204.204;178.9216;169.92690000000002;160.9322;146.5893
228;COLIDER;0.2078;NAT;1050;934;807;764;724;654;218.19000000000003;194.08520000000001;167.6946;158.75920000000002;150.4472;135.90120000000002
229;TELES PIRES;0.5054;NAT;3099;2469;1993;1702;1519;1395;1566.2345999999998;1247.8326;1007.2621999999999;860.1908;767.7026;705.0329999999999
230;SAO MANOEL;0.2267;NAT;3142;2506;2020;1710;1526;1408;712.2914000000001;568.1102000000001;457.934;387.65700000000004;345.9442;319.1936
237;;;NAT;204;214;226;247;201;233;;;;;;
238;;;NAT;256;266;271;293;244;277;;;;;;
239;;;NAT;360;360;356;381;325;362;;;;;;
240;;;NAT;412;411;400;437;377;426;;;;;;
241;SLT VERDINHO;0.3742;NAT;122;112;105;106;103;103;45.6524;41.910399999999996;39.291;39.6652;38.5426;38.5426
242;;;NAT;435;430;416;459;397;452;;;;;;
243;;;NAT;469;444;421;472;410;464;;;;;;
244;;;NAT;4157;3737;3448;3377;3211;3264;;;;;;
245;;;NAT;4461;4021;3707;3634;3460;3507;;;;;;
246;;;NAT;5244;4735;4488;4454;4167;4126;;;;;;
247;CACU;0.243;NAT;134;119;113;111;107;106;32.562;28.916999999999998;27.459;26.973;26.000999999999998;25.758
248;B. COQUEIROS;0.3214;NAT;140;124;118;116;111;111;44.996;39.8536;37.925200000000004;37.2824;35.6754;35.6754
249;OURINHOS;0.0962;NAT;104;156;465;360;200;226;10.0048;15.0072;44.733;34.632;19.24;21.7412
251;SERRA FACAO;0.6489;NAT;102;91;85;80;75;74;66.18780000000001;59.0499;55.1565;51.912000000000006;48.667500000000004;48.0186
252;ITIQUIRA II;1.2239;NAT;61;57;54;52;51;52;74.6579;69.7623;66.0906;63.6428;62.4189;63.6428
253;SÃO SALVADOR;0.2149;NAT;609;493;431;429;395;383;130.8741;105.9457;92.6219;92.1921;84.88550000000001;82.3067
254;PEDRA DO CAVALO;0.9483;NAT;43;40;33;20;20;20;40.776900000000005;37.932;31.2939;18.966;18.966;18.966
255;IRAPÉ;1.4533;NAT;51;44;39;38;36;34;74.1183;63.9452;56.6787;55.2254;52.3188;49.4122
257;PEIXE ANGICAL;0.2408;NAT;1108;856;751;709;650;617;266.8064;206.1248;180.8408;170.72719999999998;156.51999999999998;148.5736
259;ITIQUIRA I;0.7685;NAT;61;57;54;52;51;52;46.878499999999995;43.8045;41.498999999999995;39.961999999999996;39.1935;39.961999999999996
260;;;NAT;83;76;73;73;71;71;;;;;;
261;FOZ DO RIO CLARO;0.2395;NAT;151;134;127;124;120;119;36.1645;32.092999999999996;30.4165;29.698;28.74;28.5005
262;GUILMAN;1.0066;NAT;39;34;30;31;30;29;39.2574;34.224399999999996;30.197999999999997;31.2046;30.197999999999997;29.191399999999998
263;PORTO ESTRELA;0.4593;NAT;71;64;60;60;57;56;32.6103;29.3952;27.558;27.558;26.1801;25.7208
266;;;NAT;7384;7682;9246;9040;7391;7086;;;;;;
269;BALBINA;0.208;NAT;1103;1182;1279;1334;1395;1389;229.42399999999998;245.856;266.032;277.472;290.15999999999997;288.912
270;SERRA DA MESA;1.0404;NAT;468;389;351;357;330;323;486.9072;404.7156;365.1804;371.4228;343.332;336.0492
271;ESTREITO TOC;0.211;NAT;3883;2723;2374;2194;2025;1900;819.313;574.553;500.914;462.93399999999997;427.275;400.9
273;LAJEADO;0.3315;NAT;1757;1308;1121;1003;917;863;582.4455;433.60200000000003;371.61150000000004;332.4945;303.9855;286.0845
275;TUCURUI;0.5496;NAT;21020;16244;13516;10735;8294;6725;11552.591999999999;8927.7024;7428.393599999999;5899.956;4558.3823999999995;3696.06
277;CURUA-UNA;0.1679;NAT;394;351;349;327;295;268;66.15259999999999;58.9329;58.5971;54.903299999999994;49.530499999999996;44.9972
278;MANSO;0.508;NAT;124;102;94;85;81;84;62.992000000000004;51.816;47.752;43.18;41.148;42.672
279;SAMUEL;0.2762;NAT;862;585;477;360;288;256;238.0844;161.577;131.7474;99.432;79.54560000000001;70.7072
280;COARACY NUNES;0.1795;NAT;2913;2504;2834;2866;2888;2886;522.8835;449.46799999999996;508.703;514.447;518.396;518.037
281;P.PEDRA;2.2106;NAT;74;69;64;63;62;63;163.5844;152.5314;141.4784;139.2678;137.0572;139.2678
283;SANTA CLARA - MG;0.4495;NAT;46;44;43;43;42;40;20.677;19.778;19.328500000000002;19.328500000000002;18.879;17.98
284;14 DE JULHO;0.3016;NAT;54;284;108;79;79;110;16.2864;85.6544;32.5728;23.8264;23.8264;33.175999999999995
285;JIRAU;0.155;NAT;34874;30917;27899;28677;23728;22400;5405.47;4792.135;4324.345;4444.935;3677.84;3472.0
286;QUEBRA-QUEIXO;1.035;NAT;20;43;44;32;26;31;20.7;44.504999999999995;45.54;33.12;26.909999999999997;32.085
287;SANTO ANTONIO;0.1589;NAT;35750;32131;28242;29084;24100;22739;5680.675;5105.615900000001;4487.6538;4621.4476;3829.4900000000002;3613.2271000000005
288;PIMENTAL;0.0;NAT;15748;14851;12436;11047;9855;8370;0.0;0.0;0.0;0.0;0.0;0.0
290;SANTO ANTONIO DO JARI;0.2315;NAT;2460;2705;3623;4072;4273;3970;569.49;626.2075;838.7245;942.668;989.1995000000001;919.0550000000001
291;DARDANELOS;0.8689;NAT;821;620;456;387;318;292;713.3669;538.718;396.2184;336.2643;276.3102;253.7188
292;BELO MONTE ART;0.8185;ART;8832.167142857143;9314.44;8278.711428571429;7693.7814285714285;6874.445714285714;5762.108571428572;7229.128806428571;7623.869140000001;6776.125304285714;6297.360099285715;5626.733817142856;4716.285865714286
294;SALTO;0.4502;NAT;111;101;98;98;95;95;49.9722;45.4702;44.1196;44.1196;42.769;42.769
295;JAURU;0.9297;NAT;91;78;75;75;73;72;84.6027;72.5166;69.72749999999999;69.72749999999999;67.8681;66.9384
296;GUAPORÉ;1.5452;NAT;42;37;36;35;34;34;64.8984;57.172399999999996;55.627199999999995;54.081999999999994;52.5368;52.5368
297;FERREIRA GOMES;0.1499;NAT;2935;2524;2855;2889;2912;2909;439.9565;378.3476;427.96450000000004;433.0611;436.5088;436.0591
298;;;ART;96.45263157894736;104.59473684210526;91.4421052631579;108.97894736842105;105.22105263157894;102.08947368421053;;;;;;
299;ILHA POMBOS;0.2702;ART;207.54736842105262;202.40526315789475;164.55789473684212;191.02105263157895;177.77894736842106;173.91052631578947;56.07929894736842;54.68990210526316;44.46354315789474;51.613888421052636;48.03587157894737;46.99062421052631
301;;;NAT;13;13;12;10;7;9;;;;;;
302;PIMENTAL_ART;0.114;ART;6915.832857142857;5536.5599999999995;4157.288571428571;3353.2185714285715;2980.5542857142864;2607.891428571428;788.4049457142858;631.16784;473.93089714285713;382.26691714285715;339.78318857142864;297.2996228571428
303;FONTES;2.7014;ART;13.0;12.0;10.0;12.0;10.0;10.0;35.1182;32.4168;27.014;32.4168;27.014;27.014
304;;;ART;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;
306;PEREIRA PASSOS;0.3233;ART;113.45263157894736;120.59473684210526;107.4421052631579;124.97894736842105;118.22105263157894;115.08947368421053;36.67923578947368;38.98827842105263;34.736032631578944;40.40569368421052;38.22086631578947;37.20842684210526
315;;;ART;100.45263157894736;108.59473684210526;97.4421052631579;112.97894736842105;108.22105263157894;105.08947368421053;;;;;;
316;;;ART;100.45263157894736;108.59473684210526;97.4421052631579;112.97894736842105;108.22105263157894;105.08947368421053;;;;;;
317;;;ART;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;
318;H.BORDEN;5.6808;ART;35.4;36.5;33.9;26.1;17.3;24.7;201.10031999999998;207.3492;192.57912;148.26888;98.27784;140.31575999999998
319;;;ART;33.4;33.5;31.9;23.1;16.3;21.7;;;;;;
320;;;NAT;15;16;14;13;8;12;;;;;;
366;;;ART;7384;7682;9246;9040;7391;7086;;;;;;
