Posto,NOME,Tipo,BACIA,REGIAO,PRODUTIBILIDADE,ENA1_DIF,ENA2_DIF,ENA3_DIF,ENA4_DIF,ENA5_DIF,ENA6_DIF
1,CAMARGOS,NAT,Grande,Sudeste,0.2076,0.0,0.0,0.0,-0.20759999999999934,-0.41520000000000046,-0.41520000000000046
2,ITUTINGA,NAT,Grande,Sudeste,0.2437,0.0,0.0,0.0,-0.2436999999999987,-0.48740000000000094,-0.48739999999999917
6,FURNAS,NAT,Grande,Sudeste,0.813,0.0,0.0,0.0,-10.569000000000017,-10.569000000000074,-13.82099999999997
7,MASC. DE MORAES,NAT,Grande,Sudeste,0.3471,0.0,-0.34710000000001173,-0.34710000000001173,-4.51230000000001,-4.859399999999994,-7.289099999999991
8,ESTREITO,NAT,Grande,Sudeste,0.5437,-0.5437000000000012,0.0,-0.5437000000000012,-7.6118000000000166,-7.6118000000000166,-11.417699999999996
9,JAGUARA,NAT,Grande,Sudeste,0.3944,0.0,-0.39440000000001874,0.0,-5.5216000000000065,-5.5216000000000065,-8.282400000000024
10,IGARAPAVA,NAT,Grande,Sudeste,0.1523,-0.15229999999999677,0.0,-0.15230000000001098,-2.1321999999999974,-2.1321999999999974,-3.3506
11,VOLTA GRANDE,NAT,Grande,Sudeste,0.2482,0.0,0.0,-0.2481999999999971,-3.722999999999999,-3.722999999999999,-6.204999999999998
12,P COLOMBIA,NAT,Grande,Sudeste,0.2012,0.0,-0.20120000000000005,6.4384000000000015,-3.0180000000000007,-3.2192000000000007,-5.432400000000001
14,CACONDE,NAT,Grande,Sudeste,0.8259,0.0,-0.8259000000000007,0.0,-1.651799999999998,-0.8259000000000007,-1.6518000000000015
15,EUC DA CUNHA,NAT,Grande,Sudeste,0.7502,0.0,-0.7501999999999995,-0.7501999999999995,-1.500399999999999,-0.7501999999999995,-2.250600000000002
16,LIMOEIRO,NAT,Grande,Sudeste,0.2209,0.0,-0.22089999999999854,-0.22090000000000032,-0.44180000000000064,-0.22089999999999854,-0.6626999999999992
17,MARIMBONDO,NAT,Grande,Sudeste,0.5183,0.0,0.0,16.5856,-8.81110000000001,-7.2561999999999784,-18.14050000000003
18,AGUA VERMELHA,NAT,Grande,Sudeste,0.4625,0.0,-0.46249999999997726,1.849999999999909,-7.8624999999999545,-6.475000000000023,-17.112500000000125
22,BATALHA,NAT,Paranaíba,Sudeste,0.3551,-0.3551000000000002,-0.3551000000000002,0.0,0.0,0.0,-0.7102000000000022
23,CORUMBA III,NAT,Paranaíba,Sudeste,0.3471,-0.3471000000000011,-0.3470999999999975,-0.3471000000000011,-0.3470999999999975,-0.3471000000000011,-0.6941999999999986
24,EMBORCACAO,NAT,Paranaíba,Sudeste,1.1582,0.0,-1.1581999999999653,0.0,0.0,0.0,-8.107400000000013
25,NOVA PONTE,NAT,Paranaíba,Sudeste,0.9669,-0.9669000000000096,-0.9669000000000096,-0.9668999999999812,-1.9337999999999909,0.0,-8.702100000000002
28,CAPIM BRANCO 2,NAT,Paranaíba,Sudeste,0.4169,-0.41689999999999827,-0.41689999999999827,-0.41689999999999827,-0.8338000000000108,0.0,-4.168999999999997
31,ITUMBIARA,NAT,Paranaíba,Sudeste,0.7027,-0.7026999999999362,0.0,-0.7027000000000498,-1.405399999999986,0.0,-23.18909999999994
32,CACH DOURADA,NAT,Paranaíba,Sudeste,0.2702,0.0,-0.2702000000000453,0.0,-0.5404000000000053,0.0,-9.186800000000005
33,SAO SIMAO,NAT,Paranaíba,Sudeste,0.6355,-0.6355000000000928,-0.6355000000000928,0.0,-1.2710000000000719,-0.6354999999999791,-26.69100000000003
34,ILHA SOLTEIRA,NAT,Alto Paraná,Sudeste,0.3869,0.0,0.0,-0.3869000000001961,-9.285600000000159,-7.737999999999829,-33.66030000000001
37,BARRA BONITA,ART,Tietê,Sudeste,0.1776,-0.017759999999995557,0.15984000000000265,0.1775999999999982,3.676319999999997,6.3048,3.711839999999995
38,BARIRI,ART,Tietê,Sudeste,0.1848,-0.01847999999999672,-0.018480000000003827,0.0,3.640560000000008,6.560400000000001,3.6775200000000012
39,IBITINGA,ART,Tietê,Sudeste,0.1737,-0.017369999999999663,0.15632999999998987,0.0,3.4218900000000048,6.513749999999995,3.1092300000000037
40,PROMISSAO,ART,Tietê,Sudeste,0.213,-0.021300000000010755,-0.021300000000010755,0.0,3.7701000000000136,7.774500000000003,2.3216999999999928
42,N.AVANHANDAVA,ART,Tietê,Sudeste,0.2784,0.250559999999993,0.2505600000000072,0.0,4.927679999999995,10.161600000000007,2.1993599999999986
43,TRES IRMAOS,ART,Tietê,Sudeste,0.4025,-0.04024999999998613,-0.04025000000001455,-0.402499999999975,6.721749999999986,14.288749999999993,3.1797499999999843
