;NOME;PRODUTIBILIDADE;Tipo;S1;S2;S3;S4;S5;S6;ENA1;ENA2;ENA3;ENA4;ENA5;ENA6
001;CAMARGOS;0.2076;NAT;65;58;54;53;52;50;13.494;12.0408;11.2104;11.0028;10.795200000000001;10.38
002;ITUTINGA;0.2437;NAT;65;58;54;53;52;50;15.8405;14.1346;13.1598;12.9161;12.6724;12.185
006;FURNAS;0.813;NAT;441;393;368;360;359;340;358.53299999999996;319.50899999999996;299.18399999999997;292.68;291.86699999999996;276.41999999999996
007;MASC. DE MORAES;0.3471;NAT;534;468;436;424;422;399;185.3514;162.4428;151.3356;147.1704;146.4762;138.49290000000002
008;ESTREITO;0.5437;NAT;557;486;452;439;436;413;302.8409;264.2382;245.7524;238.68429999999998;237.05319999999998;224.54809999999998
009;JAGUARA;0.3944;NAT;568;493;459;446;442;418;224.01919999999998;194.4392;181.0296;175.9024;174.32479999999998;164.8592
010;IGARAPAVA;0.1523;NAT;596;513;477;463;460;435;90.7708;78.12989999999999;72.6471;70.5149;70.05799999999999;66.2505
011;VOLTA GRANDE;0.2482;NAT;654;559;519;503;498;471;162.3228;138.7438;128.8158;124.8446;123.6036;116.90220000000001
012;P COLOMBIA;0.2012;NAT;770;694;644;622;612;577;154.92399999999998;139.6328;129.5728;125.1464;123.1344;116.0924
014;CACONDE;0.8259;NAT;32;30;29;29;29;25;26.4288;24.776999999999997;23.9511;23.9511;23.9511;20.6475
015;EUC DA CUNHA;0.7502;NAT;52;49;47;48;47;41;39.0104;36.7598;35.2594;36.0096;35.2594;30.7582
016;LIMOEIRO;0.2209;NAT;52;50;47;48;47;42;11.4868;11.045;10.3823;10.603200000000001;10.3823;9.277800000000001
017;MARIMBONDO;0.5183;NAT;1143;1031;968;943;944;887;592.4168999999999;534.3673;501.71439999999996;488.7569;489.2752;459.7321
018;AGUA VERMELHA;0.4625;NAT;1323;1169;1099;1072;1075;1009;611.8875;540.6625;508.2875;495.8;497.1875;466.6625
022;BATALHA;0.3551;NAT;66;67;63;59;56;53;23.436600000000002;23.791700000000002;22.3713;20.9509;19.8856;18.820300000000003
023;CORUMBA III;0.3471;NAT;99;94;88;83;79;75;34.3629;32.6274;30.544800000000002;28.8093;27.420900000000003;26.032500000000002
024;EMBORCACAO;1.1582;NAT;318;306;289;278;267;254;368.3076;354.40919999999994;334.71979999999996;321.97959999999995;309.2394;294.1828
025;NOVA PONTE;0.9669;NAT;254;245;233;226;214;206;245.5926;236.8905;225.2877;218.5194;206.9166;199.1814
028;CAPIM BRANCO 2;0.4169;NAT;271;257;245;238;226;218;112.9799;107.1433;102.1405;99.2222;94.2194;90.88419999999999
031;ITUMBIARA;0.7027;NAT;1128;1065;1009;978;939;901;792.6456;748.3755;709.0243;687.2406;659.8353;633.1327
032;CACH DOURADA;0.2702;NAT;1175;1105;1048;1017;977;938;317.485;298.57099999999997;283.1696;274.7934;263.98539999999997;253.4476
033;SAO SIMAO;0.6355;NAT;1789;1680;1596;1557;1501;1443;1136.9095;1067.6399999999999;1014.2579999999999;989.4735;953.8855;917.0264999999999
034;ILHA SOLTEIRA;0.3869;NAT;3742;3381;3213;3152;3108;2964;1447.7798;1308.1089000000002;1243.1097;1219.5088;1202.4852;1146.7716
037;BARRA BONITA;0.1776;ART;183.3;197.7;189.1;206.8;207.2;192.6;32.554080000000006;35.11152;33.58416;36.72768000000001;36.79872;34.20576
038;BARIRI;0.1848;ART;241.3;252.7;241.1;259.8;258.2;240.6;44.59224;46.69895999999999;44.555279999999996;48.01104;47.71536;44.46288
039;IBITINGA;0.1737;ART;350.3;357.7;342.1;362.8;355.2;334.6;60.84711;62.13249;59.42277;63.01836;61.69824;58.120020000000004
040;PROMISSAO;0.213;ART;404.3;410.7;395.1;421.8;414.2;390.6;86.1159;87.4791;84.1563;89.8434;88.2246;83.1978
042;N.AVANHANDAVA;0.2784;ART;427.3;431.7;416.1;445.8;437.2;412.6;118.96032;120.18527999999999;115.84224;124.11072;121.71647999999999;114.86784
043;TRES IRMAOS;0.4025;ART;452.3;444.7;429.1;458.8;451.2;426.6;182.05075000000002;178.99175;172.71275000000003;184.667;181.608;171.7065
044;;;ART;4194.3;3825.7;3642.1;3610.8;3559.2;3390.6;;;;;;
045;JUPIA;0.18;ART;4487.3;4090.7;3898.1;3870.8;3835.2;3655.6;807.714;736.3259999999999;701.6579999999999;696.744;690.3359999999999;658.0079999999999
046;P.PRIMAVERA;0.1754;ART;5264.3;4687.7;4438.1;4429.8;4450.2;4242.6;923.3582200000001;822.22258;778.4427400000001;776.98692;780.56508;744.15204
047;JURUMIRIM;0.2907;NAT;44;47;43;47;73;63;12.7908;13.6629;12.5001;13.6629;21.2211;18.3141
048;PIRAJU;0.2306;NAT;45;48;44;49;75;65;10.377;11.0688;10.1464;11.2994;17.295;14.989
049;CHAVANTES;0.6177;NAT;67;69;63;87;117;98;41.3859;42.621300000000005;38.9151;53.739900000000006;72.2709;60.534600000000005
050;LUCAS GARCEZ;0.1483;NAT;124;125;118;149;185;163;18.3892;18.537499999999998;17.499399999999998;22.0967;27.435499999999998;24.1729
051;CANOAS 2;0.1288;NAT;128;129;122;154;190;168;16.4864;16.615199999999998;15.7136;19.8352;24.472;21.6384
052;CANOAS 1;0.1489;NAT;137;138;131;164;201;179;20.3993;20.5482;19.5059;24.4196;29.928900000000002;26.653100000000002
053;PARANAPANEMA;0.1275;NAT;45;48;44;49;75;65;5.7375;6.12;5.61;6.2475000000000005;9.5625;8.2875
057;GOV JAYME CANET JR;1.0494;NAT;72;79;62;73;86;90;75.55680000000001;82.9026;65.06280000000001;76.6062;90.2484;94.44600000000001
061;CAPIVARA;0.3744;NAT;409;391;338;432;493;451;153.1296;146.3904;126.5472;161.7408;184.57920000000001;168.8544
062;TAQUARUÇU;0.2221;NAT;446;428;373;471;531;490;99.0566;95.05879999999999;82.8433;104.6091;117.93509999999999;108.829
063;ROSANA;0.1841;NAT;538;514;455;564;620;581;99.04580000000001;94.62740000000001;83.7655;103.8324;114.14200000000001;106.9621
