REGIAO,ENA1_sDIF,ENA2_sDIF,ENA3_sDIF,ENA4_sDIF,ENA5_sDIF,ENA6_sDIF
Nordeste,-270.7312000000003,-133.77809999999948,-183.37060000000005,-125.98300000000054,25.261000000000102,218.11549999999994
Norte,-0.03020000000037726,93.39819999999919,369.06420000000315,1851.283900000003,1762.5766999999983,1755.5203999999992
Sudeste,-24.40119473684249,-191.26524210526233,49.375700000000066,494.9510000000005,209.46790000000112,-223.49570000000023
Sul,-20.00579999999988,-1219.0910999999996,698.529,453.1867,266.76169999999973,143.4480999999999
