BACIA,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6
Alto Paraná,2263.6553,2046.6214,1948.5291,1919.5102000000002,1896.2586000000001,1808.3609999999999
Alto Tietê,151.10927999999998,84.64392,78.96312,107.9352,99.98208,87.48432
Amazonas (N),803.3044,904.5678,1210.1984,1190.4513000000002,1146.1365,1047.0163
Amazonas (SE),15033.0253,12712.1536,11097.4412,10705.5761,9461.112200000001,8580.6417
Araguari,1303.4903,1147.5833,1174.6638,1161.5038,1068.144,1045.114
Baixo Paraná,8427.627419999999,7261.19898,6880.1856800000005,7048.7135,7289.7329199999995,7050.32278
Capivari,76.2504,63.541999999999994,57.187799999999996,69.8962,57.187799999999996,57.187799999999996
Doce,479.3462,456.5535,440.4352,434.6961,447.0523,425.44079999999997
Grande,2884.8773,2516.9177,2354.2017,2295.6225,2287.8417,2152.9166999999998
Iguaçu,2286.9613,3324.5032,2819.6387,3656.1926000000003,3516.3064,2901.5007
Itabapoana,33.806,33.806,32.1157,30.4254,35.4963,28.7351
Itajaí-Açu,116.4306,119.9588,128.7793,153.4767,149.9485,128.7793
Jacuí,604.6617,630.3246,768.6041,1007.1148000000001,872.8609,1103.4503
Jequitinhonha (NE),68.64,61.489999999999995,58.629999999999995,56.485,55.769999999999996,53.625
Jequitinhonha (SE),77.0249,72.665,68.3051,63.9452,61.0386,58.132000000000005
Mucuri,23.374000000000002,26.071,25.6215,24.7225,25.6215,23.374000000000002
Paraguai,445.25710000000004,409.50809999999996,389.8556,387.82359999999994,386.29959999999994,376.2128
Paraguaçu,33.1905,13.276200000000001,13.276200000000001,13.276200000000001,13.276200000000001,14.2245
Paranapanema (S),68.21100000000001,65.06280000000001,62.964000000000006,76.6062,91.29780000000001,95.4954
Paranapanema (SE),505.9356,503.3723,475.5996,575.7125000000001,675.4349,610.8092
Paranaíba,3881.5510999999997,3680.4481,3493.9422,3390.4026,3256.2598,3125.0334
Paraíba do Sul,619.7962842105263,608.2617473684211,589.0293631578947,601.1593684210526,587.6646684210526,551.4221789473685
Parnaíba,191.8488,158.1712,136.60240000000002,130.9264,126.38560000000001,119.196
Santa Maria da Vitória,12.6792,12.6792,12.6792,12.6792,19.0188,14.7924
São Francisco (NE),5869.3747,4355.768400000001,3288.424,3112.8556000000003,3065.48,3098.9216
São Francisco (SE),289.21479999999997,269.5666,251.09680000000003,238.1936,228.47200000000004,219.39139999999998
Tietê,525.6147,526.2049,512.2797,544.7821,536.2588999999999,506.5608
Tocantins (N),12392.5138,9591.1648,7650.0584,6177.343,5104.0,4300.8984
Tocantins (SE),1774.2204,1575.6847,1435.2538,1322.314,1227.2638,1126.3287
Uruguai,1686.4596000000001,1720.3558,2312.0579,3354.9559,3285.279,2908.6841999999997
Xingu,8047.818252142857,9179.12348,9743.207201428571,10266.294016428572,8659.382005714286,7131.044988571428
