REGIAO,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6
Nordeste,6433.7852,4722.4839,3680.3032000000003,3439.5262000000002,3235.6508000000003,3067.8516000000004
Norte,22547.156952142857,20729.04118,19409.06360142857,16944.30821642857,14215.085805714287,11768.55328857143
Sudeste,37452.51607894737,32987.621989473686,30036.158863157896,29209.26266842105,28311.340768421054,26969.454978947368
Sul,4858.9804,7142.8383,5450.7028,7865.0557,7706.1187,7051.6496
