BACIA,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6
Alto Paraná,2255.4938,2044.4349000000002,1944.7676999999999,1916.2528000000002,1892.8211999999999,1804.7795999999998
Alto Tietê,163.03895999999997,92.59703999999999,84.64392,120.43296,112.47984,104.52671999999998
Amazonas (N),803.4385,909.4322000000001,1110.4681,1103.4492,1030.3368,978.5282
Amazonas (SE),15034.3861,12686.3546,11041.3018,10168.6516,9197.194,8743.1337
Araguari,1304.1009,1149.9333,1186.7432000000001,1150.5532,1060.154,1042.1441
Baixo Paraná,8402.072839999999,7348.450959999999,6809.374380000001,6999.3780400000005,7260.38726,7026.163680000001
Capivari,82.60459999999999,63.541999999999994,63.541999999999994,76.2504,63.541999999999994,63.541999999999994
Doce,480.0837,459.6404,444.0082,435.9574,448.8779,427.8385
Grande,2846.4658999999997,2523.093,2361.9882,2302.2491,2293.5969,2158.9905
Iguaçu,2277.7599,3873.5696,2669.7096,3444.8450000000003,3388.4196,2848.1504
Itabapoana,35.4963,33.806,32.1157,32.1157,37.1866,30.4254
Itajaí-Açu,111.1383,116.4306,82.9127,125.2511,134.0716,118.1947
Jacuí,614.7665999999999,737.6029000000001,649.0536999999999,977.7208,855.3797,1083.9638
Jequitinhonha (NE),68.64,62.205,59.345,57.199999999999996,56.485,54.339999999999996
Jequitinhonha (SE),78.4782,74.1183,69.7584,65.3985,62.4919,58.132000000000005
Mucuri,23.8235,26.520500000000002,26.071,25.172,25.6215,23.8235
Paraguai,446.1868,411.5005,393.2857,390.32399999999996,387.7373,379.86109999999996
Paraguaçu,33.1905,14.2245,13.276200000000001,13.276200000000001,13.276200000000001,15.1728
Paranapanema (S),75.55680000000001,82.9026,65.06280000000001,76.6062,90.2484,94.44600000000001
Paranapanema (SE),483.43590000000006,472.1769,419.2995,530.0453,630.29,568.9513000000001
Paranaíba,3882.3943,3681.2765999999997,3495.2574,3389.7119,3257.1563,3125.6119
Paraíba do Sul,681.7489789473684,637.4885894736842,604.2335631578948,616.6942684210526,605.1477684210527,568.2292789473685
Parnaíba,192.2272,159.3064,138.116,133.5752,128.2776,119.57440000000001
Santa Maria da Vitória,12.6792,12.6792,12.6792,14.7924,19.0188,14.7924
São Francisco (NE),6139.727500000001,4486.748,3469.5660000000003,3235.4748,3037.612,2878.7644
São Francisco (SE),291.1898,270.3372,251.86739999999998,240.6046,230.54840000000002,221.80239999999998
Tietê,525.1204,530.5990999999999,510.2735,546.3782,537.7614,506.5608
Tocantins (N),12389.343799999999,9546.210200000001,7564.2666,6111.7588,5061.288,4271.843
Tocantins (SE),1810.4214000000002,1682.5482,1535.2332999999999,1415.1039,1313.0237,1205.8322
Uruguai,1697.1542,2268.7906,1920.422,3164.3822,3174.4574,2843.3527
Xingu,8050.273752142857,9123.46548,9547.58570142857,8578.54701642857,7063.307005714287,5476.037988571429
