BACIA,REGIAO,ENA1_sDIF,ENA2_sDIF,ENA3_sDIF,ENA4_sDIF,ENA5_sDIF,ENA6_sDIF
Alto Paraná,Sudeste,8.161499999999819,2.18649999999991,3.7614000000000942,3.2573999999999614,3.4373999999999114,3.5814000000000306
Alto Tietê,Sudeste,-11.929679999999962,-7.953120000000013,-5.680799999999991,-12.49776,-12.49776,-17.042399999999986
Amazonas (N),Norte,-0.1341000000000463,-4.864400000000032,99.73030000000004,87.00210000000004,115.7997,68.4881
Amazonas (SE),Sudeste,-1.3608000000003528,25.79900000000014,56.13940000000057,536.924500000001,263.9182000000007,-162.49199999999996
Amazonas total,Total,-1.4949000000003991,20.93460000000011,155.86970000000062,623.926600000001,379.71790000000067,-94.00389999999996
Araguari,Norte,-0.6105999999999199,-2.3500000000000227,-12.079400000000021,10.950600000000122,7.990000000000009,2.9699000000000524
Baixo Paraná,Sudeste,25.55458000000033,-87.25197999999911,70.81129999999962,49.335459999999436,29.345660000000397,24.159099999999846
Capivari,Sul,-6.354199999999992,0.0,-6.354199999999999,-6.354200000000006,-6.354199999999999,-6.354199999999999
Doce,Sudeste,-0.7374999999999972,-3.086900000000014,-3.573000000000011,-1.261300000000002,-1.8256000000000014,-2.3977000000000004
Grande,Sudeste,38.411400000000015,-6.175299999999963,-7.786500000000089,-6.62659999999997,-5.755199999999931,-6.0738000000000305
Iguaçu,Sul,9.201400000000021,-549.0663999999998,149.92909999999998,211.34760000000009,127.88679999999975,53.350299999999926
Itabapoana,Sudeste,-1.6903000000000006,0.0,0.0,-1.690299999999997,-1.6903000000000006,-1.6903000000000006
Itajaí-Açu,Sul,5.292299999999997,3.5281999999999982,45.866600000000005,28.2256,15.876900000000006,10.584600000000009
Jacuí,Sul,-10.104900000000002,-107.2783,119.5504,29.39399999999995,17.481199999999973,19.48650000000005
Jequitinhonha (NE),Nordeste,0.0,-0.7149999999999963,-0.7149999999999963,-0.7150000000000034,-0.7149999999999963,-0.7150000000000034
Jequitinhonha (SE),Sudeste,-1.4532999999999987,-1.4532999999999987,-1.4532999999999987,-1.4532999999999987,-1.4532999999999987,0.0
Jequitinhonha total,Total,-1.4532999999999987,-2.168299999999995,-2.168299999999995,-2.168300000000002,-2.168299999999995,-0.7150000000000034
Mucuri,Sudeste,-0.44950000000000045,-0.4494999999999969,-0.44950000000000045,-0.44950000000000045,0.0,-0.44950000000000045
Paraguai,Sudeste,-0.9296999999999969,-1.9923999999999964,-3.430099999999996,-2.500399999999992,-1.4376999999999924,-3.648299999999999
Paraguaçu,Nordeste,0.0,-0.9483000000000015,0.0,0.0,0.0,-0.9482999999999997
Paranapanema (S),Sul,-7.345799999999997,-17.839799999999997,-2.098800000000004,0.0,1.0493999999999915,1.0494000000000057
Paranapanema (SE),Sudeste,22.49969999999998,31.195399999999992,56.300099999999986,45.66720000000001,45.1449,41.8579
Paranapanema total,Total,15.153899999999982,13.355599999999995,54.20129999999998,45.66720000000001,46.19429999999999,42.907300000000006
Paranaíba,Sudeste,-0.8432000000001167,-0.8285000000001119,-1.3152000000000257,0.6907000000001382,-0.8964999999998788,-0.5785000000001013
Paraíba do Sul,Sudeste,-61.952694736842126,-29.226842105263085,-15.20420000000001,-15.534900000000025,-17.483099999999993,-16.807100000000005
Parnaíba,Nordeste,-0.3783999999999992,-1.1351999999999975,-1.5135999999999967,-2.6487999999999943,-1.8920000000000101,-0.3783999999999992
Santa Maria da Vitória,Sudeste,0.0,0.0,0.0,-2.113200000000001,0.0,0.0
São Francisco (NE),Nordeste,-270.3528000000003,-130.9795999999995,-181.14200000000005,-122.61920000000055,27.86800000000011,220.15719999999993
São Francisco (SE),Sudeste,-1.9750000000000014,-0.7706000000000053,-0.7706000000000088,-2.411000000000005,-2.0763999999999783,-2.4110000000000085
São Francisco total,Total,-272.3278000000003,-131.7501999999995,-181.91260000000005,-125.03020000000055,25.79160000000013,217.74619999999993
Tietê,Sudeste,0.4942999999999884,-4.394199999999977,2.0061999999999784,-1.596100000000014,-1.5025000000000404,0.0
Tocantins (N),Norte,3.169999999999618,44.9545999999998,85.7918000000002,65.58420000000001,42.71199999999999,29.055400000000304
Tocantins (SE),Sudeste,-36.20100000000008,-106.8635000000001,-99.97950000000004,-92.78990000000002,-85.75990000000007,-79.50350000000003
Tocantins total,Total,-33.03100000000046,-61.9089000000003,-14.18769999999985,-27.205700000000007,-43.047900000000084,-50.44809999999973
Uruguai,Sul,-10.694599999999905,-548.4347999999999,391.6359,190.57369999999997,110.8216,65.33149999999992
Xingu,Norte,-2.455500000000029,55.65799999999945,195.62150000000292,1687.747000000003,1596.0749999999982,1655.0069999999987
