Posto,NOME,PRODUTIBILIDADE,Tipo,S1,S2,S3,S4,S5,S6,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6,BACIA,REGIAO
001,CAMARGOS,0.2076,NAT,64,57,53,52,51,49,13.2864,11.8332,11.0028,10.795200000000001,10.5876,10.1724,Grande,Sudeste
002,ITUTINGA,0.2437,NAT,64,57,53,52,51,49,15.5968,13.8909,12.9161,12.6724,12.4287,11.9413,Grande,Sudeste
006,FURNAS,0.813,NAT,440,392,367,359,359,339,357.71999999999997,318.69599999999997,298.371,291.86699999999996,291.86699999999996,275.60699999999997,Grande,Sudeste
007,MASC. DE MORAES,0.3471,NAT,534,467,436,424,421,398,185.3514,162.09570000000002,151.3356,147.1704,146.12910000000002,138.1458,Grande,Sudeste
008,ESTREITO,0.5437,NAT,556,485,451,439,436,412,302.2972,263.6945,245.2087,238.68429999999998,237.05319999999998,224.00439999999998,Grande,Sudeste
009,JAGUARA,0.3944,NAT,567,492,458,445,442,418,223.6248,194.04479999999998,180.6352,175.50799999999998,174.32479999999998,164.8592,Grande,Sudeste
010,IGARAPAVA,0.1523,NAT,595,513,477,463,459,434,90.6185,78.12989999999999,72.6471,70.5149,69.9057,66.09819999999999,Grande,Sudeste
011,VOLTA GRANDE,0.2482,NAT,654,559,518,502,497,470,162.3228,138.7438,128.5676,124.5964,123.3554,116.654,Grande,Sudeste
012,P COLOMBIA,0.2012,NAT,809,694,644,621,611,577,162.77079999999998,139.6328,129.5728,124.9452,122.9332,116.0924,Grande,Sudeste
014,CACONDE,0.8259,NAT,31,30,28,28,28,25,25.602899999999998,24.776999999999997,23.1252,23.1252,23.1252,20.6475,Grande,Sudeste
015,EUC DA CUNHA,0.7502,NAT,51,49,46,47,46,41,38.2602,36.7598,34.5092,35.2594,34.5092,30.7582,Grande,Sudeste
016,LIMOEIRO,0.2209,NAT,52,49,47,48,47,41,11.4868,10.824100000000001,10.3823,10.603200000000001,10.3823,9.0569,Grande,Sudeste
017,MARIMBONDO,0.5183,NAT,1181,1028,965,940,942,884,612.1123,532.8124,500.1595,487.202,488.23859999999996,458.17719999999997,Grande,Sudeste
018,AGUA VERMELHA,0.4625,NAT,1355,1165,1095,1069,1072,1006,626.6875,538.8125,506.4375,494.4125,495.8,465.27500000000003,Grande,Sudeste
020,,,,,,,,,,,,,,,,Paranaíba,Sudeste
022,BATALHA,0.3551,NAT,66,66,62,59,55,53,23.436600000000002,23.436600000000002,22.0162,20.9509,19.5305,18.820300000000003,Paranaíba,Sudeste
023,CORUMBA III,0.3471,NAT,99,93,87,82,78,74,34.3629,32.280300000000004,30.1977,28.462200000000003,27.073800000000002,25.6854,Paranaíba,Sudeste
024,EMBORCACAO,1.1582,NAT,318,305,288,277,267,253,368.3076,353.251,333.5616,320.8214,309.2394,293.02459999999996,Paranaíba,Sudeste
025,NOVA PONTE,0.9669,NAT,254,244,232,226,213,206,245.5926,235.9236,224.3208,218.5194,205.9497,199.1814,Paranaíba,Sudeste
028,CAPIM BRANCO 2,0.4169,NAT,270,257,244,238,225,217,112.563,107.1433,101.7236,99.2222,93.8025,90.4673,Paranaíba,Sudeste
