BACIA,REGIAO,PERC1,PERC2,PERC3,PERC4,PERC5,PERC6
Alto Paraná,Sudeste,0.3618498086760344,0.10694886885368224,0.19341127477590742,0.16998800993271662,0.18160193894700205,0.19843974300241596
Alto Tietê,Sudeste,-7.317073170731686,-8.588957055214737,-6.711409395973143,-10.377358490566039,-11.11111111111111,-16.304347826086946
Amazonas (N),Norte,-0.01669076102278473,-0.5348831941512552,8.980924350731016,7.884558709182085,11.239014271838101,6.9990931278219675
Amazonas (SE),Sudeste,-0.009051250852207081,0.203360230842043,0.5084491033475833,5.280193688610602,2.869551300103061,-1.8585098384118266
Amazonas total,Total,-0.009438796285194364,0.1539785840125127,1.2826913386501881,5.535140352896782,3.7127035589078914,-0.9669529856824167
Araguari,Norte,-0.04682153045059013,-0.20435967894833748,-1.0178613199553215,0.9517682450494357,0.7536640903114085,0.28497978350595204
Baixo Paraná,Sudeste,0.3041461373477016,-1.187352007585543,1.0399090437438925,0.7048549130802405,0.40418863276998807,0.3438448220153028
Capivari,Sul,-7.692307692307683,0.0,-9.999999999999998,-8.333333333333341,-9.999999999999998,-9.999999999999998
Doce,Sudeste,-0.15361904601218437,-0.6715902257503941,-0.8047148678785688,-0.28931725897989163,-0.4067030254775299,-0.5604217479259114
Grande,Sudeste,1.349441776203959,-0.24475118435982993,-0.32965871717733763,-0.2878315817345729,-0.25092465027311167,-0.2813259252414511
Iguaçu,Sul,0.4039670730879062,-14.17468786413441,5.615932908957587,6.135184601919682,3.774231503087745,1.8731559962563749
Itabapoana,Sudeste,-4.761904761904764,0.0,0.0,-5.263157894736834,-4.545454545454547,-5.555555555555557
Itajaí-Açu,Sul,4.761904761904759,3.0303030303030285,55.319148936170215,22.535211267605636,11.8421052631579,8.955223880597021
Jacuí,Sul,-1.6436969737783418,-14.54418088649055,18.419184730015402,3.0063797354009396,2.0436772114185047,1.7977076356239987
Jequitinhonha (NE),Nordeste,0.0,-1.149425287356316,-1.2048192771084276,-1.250000000000006,-1.26582278481012,-1.3157894736842166
Jequitinhonha (SE),Sudeste,-1.85185185185185,-1.9607843137254883,-2.0833333333333313,-2.22222222222222,-2.325581395348835,0.0
Jequitinhonha total,Total,-0.9878451476431866,-1.59055715347266,-1.6795065040889667,-1.768618702512675,-1.8224546109370767,-0.6357137776513295
Mucuri,Sudeste,-1.8867924528301903,-1.6949152542372767,-1.7241379310344842,-1.7857142857142874,0.0,-1.8867924528301903
Paraguai,Sudeste,-0.20836564416517853,-0.4841792415805075,-0.8721649426867022,-0.6405960176673717,-0.3707922864269165,-0.960430009811481
Paraguaçu,Nordeste,0.0,-6.666666666666678,0.0,0.0,0.0,-6.249999999999997
Paranapanema (S),Sul,-9.722222222222216,-21.518987341772146,-3.2258064516129092,0.0,1.1627906976744093,1.1111111111111172
Paranapanema (SE),Sudeste,4.6541227078915695,6.606718795434506,13.427180332912393,8.615716430274924,7.162560091386505,7.357026866798617
Paranapanema total,Total,2.710929856507962,2.4060697611783524,11.190239207304115,7.527748633276274,6.411080936144415,6.467813480700029
Paranaíba,Sudeste,-0.021718556510350245,-0.022505779652637673,-0.03762813004844867,0.020376362958755823,-0.02752400921011616,-0.01850837591193268
Paraíba do Sul,Sudeste,-9.087317568483652,-4.5846847438309455,-2.5162786258576206,-2.5190602208408164,-2.8890629549236833,-2.957802531952378
Parnaíba,Nordeste,-0.19685039370078697,-0.7125890736342028,-1.0958904109589016,-1.9830028328611855,-1.4749262536873233,-0.316455696202531
Santa Maria da Vitória,Sudeste,0.0,0.0,0.0,-14.28571428571429,0.0,0.0
São Francisco (NE),Nordeste,-4.403335490052291,-2.919254658385082,-5.220883534136548,-3.7898363479759,0.917431192660554,7.647628267182961
São Francisco (SE),Sudeste,-0.6782517794235929,-0.285051409868862,-0.30595464121200633,-1.0020589797535064,-0.9006351811593479,-1.087003567139043
São Francisco total,Total,-4.23466493652469,-2.7695572910907607,-4.888240106621282,-3.596874110528101,0.7891779118307697,7.0227869304412325
Tietê,Sudeste,0.0941307936237077,-0.8281582083346873,0.39316170641822046,-0.29212366086348507,-0.2793990048374689,0.0
Tocantins (N),Norte,0.025586504428100683,0.47091567290231884,1.13417208219499,1.0730822688879675,0.8438958620809563,0.6801607643352133
Tocantins (SE),Sudeste,-1.999589708782722,-6.351289074512105,-6.512332685853026,-6.557108633507407,-6.531481495726245,-6.593247385498581
Tocantins total,Total,-0.2326165224196838,-0.5513423460958986,-0.15591735981006877,-0.36144807052213146,-0.675334091365505,-0.9209764755675862
Uruguai,Sul,-0.6301489870513771,-24.173002127212616,20.39322086499738,6.022461509232356,3.4910407050981376,2.297692438929575
Xingu,Norte,-0.030502068322166228,0.6100532755016183,2.048910647334988,19.67404266442603,22.596709993049394,30.222708524922986
