Posto,NOME,Tipo,BACIA,REGIAO,PRODUTIBILIDADE,ENA1_DIF,ENA2_DIF,ENA3_DIF,ENA4_DIF,ENA5_DIF,ENA6_DIF
1,CAMARGOS,NAT,Grande,Sudeste,0.2076,-0.20759999999999934,-0.20760000000000112,-0.20759999999999934,-0.20760000000000112,-0.20759999999999934,-0.20760000000000112
2,ITUTINGA,NAT,Grande,Sudeste,0.2437,-0.24370000000000047,-0.24370000000000047,-0.24370000000000047,-0.24370000000000047,-0.24370000000000047,-0.24370000000000047
6,FURNAS,NAT,Grande,Sudeste,0.813,-0.8129999999999882,-0.8129999999999882,-0.813000000000045,-0.8129999999999882,0.0,-0.8129999999999882
7,MASC. DE MORAES,NAT,Grande,Sudeste,0.3471,0.0,-0.3470999999999833,0.0,0.0,-0.3470999999999833,-0.34710000000001173
8,ESTREITO,NAT,Grande,Sudeste,0.5437,-0.5437000000000012,-0.5437000000000012,-0.5437000000000012,0.0,0.0,-0.5437000000000012
9,JAGUARA,NAT,Grande,Sudeste,0.3944,-0.39440000000001874,-0.3943999999999903,-0.3943999999999903,-0.39440000000001874,0.0,0.0
10,IGARAPAVA,NAT,Grande,Sudeste,0.1523,-0.15229999999999677,0.0,0.0,0.0,-0.15229999999999677,-0.15230000000001098
11,VOLTA GRANDE,NAT,Grande,Sudeste,0.2482,0.0,0.0,-0.2481999999999971,-0.2481999999999971,-0.2481999999999971,-0.2481999999999971
12,P COLOMBIA,NAT,Grande,Sudeste,0.2012,7.846800000000002,0.0,0.0,-0.20120000000000005,-0.20120000000000005,0.0
14,CACONDE,NAT,Grande,Sudeste,0.8259,-0.8258999999999972,0.0,-0.8259000000000007,-0.8259000000000007,-0.8259000000000007,0.0
15,EUC DA CUNHA,NAT,Grande,Sudeste,0.7502,-0.7501999999999995,0.0,-0.7501999999999995,-0.7501999999999995,-0.7501999999999995,0.0
16,LIMOEIRO,NAT,Grande,Sudeste,0.2209,0.0,-0.22090000000000032,0.0,0.0,0.0,-0.22089999999999854
17,MARIMBONDO,NAT,Grande,Sudeste,0.5183,19.695400000000063,-1.554899999999975,-1.554900000000032,-1.554899999999975,-1.0365999999999644,-1.554899999999975
18,AGUA VERMELHA,NAT,Grande,Sudeste,0.4625,14.799999999999955,-1.8500000000000227,-1.8500000000000227,-1.3874999999999886,-1.3874999999999886,-1.3875000000000455
22,BATALHA,NAT,Paranaíba,Sudeste,0.3551,0.0,-0.3551000000000002,-0.3551000000000002,0.0,-0.3551000000000002,0.0
23,CORUMBA III,NAT,Paranaíba,Sudeste,0.3471,0.0,-0.3470999999999975,-0.3470999999999975,-0.3470999999999975,-0.3471000000000046,-0.3470999999999975
24,EMBORCACAO,NAT,Paranaíba,Sudeste,1.1582,0.0,-1.1581999999999653,-1.158200000000022,-1.1581999999999653,0.0,-1.1581999999999653
25,NOVA PONTE,NAT,Paranaíba,Sudeste,0.9669,0.0,-0.9669000000000096,-0.9669000000000096,0.0,-0.9668999999999812,0.0
28,CAPIM BRANCO 2,NAT,Paranaíba,Sudeste,0.4169,-0.41689999999999827,0.0,-0.41689999999999827,0.0,-0.41689999999999827,-0.4169000000000125
31,ITUMBIARA,NAT,Paranaíba,Sudeste,0.7027,0.0,-0.7027000000000498,0.0,-0.7026999999999362,-0.7026999999999362,-0.7027000000000498
32,CACH DOURADA,NAT,Paranaíba,Sudeste,0.2702,0.27019999999998845,0.27019999999998845,0.27019999999998845,0.0,0.0,0.0
33,SAO SIMAO,NAT,Paranaíba,Sudeste,0.6355,2.5419999999999163,5.719499999999925,6.355000000000018,5.719500000000039,5.719500000000039,5.719499999999925
34,ILHA SOLTEIRA,NAT,Alto Paraná,Sudeste,0.3869,5.8034999999999854,1.9344999999998436,2.3214000000000397,2.3214000000000397,2.3213999999998123,2.3214000000000397
37,BARRA BONITA,ART,Tietê,Sudeste,0.1776,0.19535999999999376,-0.46175999999999817,0.1776000000000053,-0.1420800000000071,-0.14207999999999998,0.0
38,BARIRI,ART,Tietê,Sudeste,0.1848,0.018480000000003827,-0.6652799999999957,0.18479999999999563,-0.1478400000000022,-0.33264000000000493,0.0
39,IBITINGA,ART,Tietê,Sudeste,0.1737,0.1910699999999963,-0.45161999999999836,0.3474000000000004,-0.31266000000000105,-0.31266000000000815,0.0
40,PROMISSAO,ART,Tietê,Sudeste,0.213,0.021299999999996544,-0.7668000000000035,0.21300000000000807,-0.17040000000000077,-0.17040000000000077,0.0
42,N.AVANHANDAVA,ART,Tietê,Sudeste,0.2784,0.027839999999983434,-1.0022400000000005,0.27839999999999065,-0.5011200000000002,-0.2227200000000238,0.0
43,TRES IRMAOS,ART,Tietê,Sudeste,0.4025,0.04025000000001455,-1.0464999999999804,0.8049999999999784,-0.32200000000000273,-0.32200000000000273,0.0
45,JUPIA,ART,Alto Paraná,Sudeste,0.18,2.3579999999998336,0.2520000000000664,1.4400000000000546,0.9359999999999218,1.1160000000000991,1.259999999999991
46,P.PRIMAVERA,ART,Baixo Paraná,Sudeste,0.1754,-0.15785999999991418,-0.2806399999999485,3.508000000000038,2.315279999999916,1.7890800000000127,1.929399999999987
47,JURUMIRIM,NAT,Paranapanema (SE),Sudeste,0.2907,0.0,-0.29070000000000107,0.0,0.0,0.29070000000000107,0.0
48,PIRAJU,NAT,Paranapanema (SE),Sudeste,0.2306,-0.2306000000000008,-0.23059999999999903,0.0,0.0,0.23059999999999903,0.0
49,CHAVANTES,NAT,Paranapanema (SE),Sudeste,0.6177,-0.6176999999999992,0.0,1.8530999999999977,0.6176999999999992,0.6176999999999992,0.6176999999999921
50,LUCAS GARCEZ,NAT,Paranapanema (SE),Sudeste,0.1483,2.5211000000000006,5.042199999999998,5.042200000000001,4.449000000000002,4.300699999999999,4.004100000000001
51,CANOAS 2,NAT,Paranapanema (SE),Sudeste,0.1288,2.4471999999999987,6.568800000000003,6.440000000000001,5.924800000000001,6.053599999999999,5.667199999999998
52,CANOAS 1,NAT,Paranapanema (SE),Sudeste,0.1489,3.2758000000000003,5.211499999999997,5.211500000000001,4.318100000000001,4.169200000000004,3.8714000000000013
53,PARANAPANEMA,NAT,Paranapanema (SE),Sudeste,0.1275,-0.1274999999999995,-0.1275000000000004,0.0,0.0,0.1274999999999995,0.0
57,GOV JAYME CANET JR,NAT,Paranapanema (S),Sul,1.0494,-7.345799999999997,-17.839799999999997,-2.098800000000004,0.0,1.0493999999999915,1.0494000000000057
61,CAPIVARA,NAT,Paranapanema (SE),Sudeste,0.3744,6.7391999999999825,7.4879999999999995,17.222399999999993,14.22720000000001,13.852800000000002,13.104000000000013
62,TAQUARUÇU,NAT,Paranapanema (SE),Sudeste,0.2221,4.441999999999993,4.2198999999999955,10.660799999999995,8.661900000000003,8.217699999999994,7.773500000000013
63,ROSANA,NAT,Paranapanema (SE),Sudeste,0.1841,4.050200000000004,3.3138000000000005,9.3891,7.179899999999989,6.995800000000003,6.627599999999987
66,ITAIPU ART.,ART,Baixo Paraná,Sudeste,1.0244,25.712440000000242,-86.66423999999915,67.61039999999957,47.32727999999952,27.863680000000386,22.536799999999857
71,STA CLARA PR,NAT,Iguaçu,Sul,0.8126,-15.439399999999992,-36.56699999999999,-13.001600000000003,-12.189,-9.751199999999997,-7.3134000000000015
72,FUNDÃO,NAT,Iguaçu,Sul,0.8307,-14.95259999999999,-37.381499999999996,-13.291200000000003,-12.460499999999996,-9.968400000000003,-7.476300000000002
73,JORDÃO NAT.,NAT,Iguaçu,Sul,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,FOZ DO AREIA,NAT,Iguaçu,Sul,1.0938,9.8442,-27.344999999999914,77.6597999999999,88.5978,59.065200000000004,32.813999999999965
