BACIA,REGIAO,ENA1_sDIF,ENA2_sDIF,ENA3_sDIF,ENA4_sDIF,ENA5_sDIF,ENA6_sDIF
Alto Paraná,Sudeste,-6.964800000000082,-6.784800000000018,-6.559900000000198,-5.992999999999938,-5.992999999999938,-5.848999999999933
Alto Tietê,Sudeste,-11.929680000000005,-11.929680000000005,-12.49776,-12.49776,-18.178560000000004,-17.0424
Amazonas (N),Norte,2.1469999999999914,2.8844999999999317,-8.945499999999996,49.30539999999998,67.13090000000001,68.22479999999993
Amazonas (SE),Sudeste,-10.22390000000042,-66.56650000000062,981.4129999999998,542.3952000000008,138.91690000000074,281.09279999999995
Amazonas total,Total,-8.076900000000428,-63.682000000000684,972.4674999999997,591.7006000000008,206.04780000000073,349.31759999999986
Araguari,Norte,0.4700000000000273,3.7600000000000477,3.2900000000000205,3.140100000000018,2.029899999999998,1.8799999999999955
Baixo Paraná,Sudeste,-28.252719999999965,-59.351220000000126,-57.357840000000124,-55.61614000000055,-53.08484000000101,-46.827599999999734
Capivari,Sul,-6.354199999999992,-6.354199999999999,-6.354199999999992,-6.354199999999999,-6.354200000000006,-6.354200000000006
Doce,Sudeste,-2.080299999999987,-2.1418999999999855,-2.4668000000000134,-4.2791,-1.7553999999999945,-3.3740999999999914
Grande,Sudeste,-5.352699999999928,-6.170799999999938,-6.509599999999889,-5.032800000000082,-7.6697000000000894,-6.151999999999877
Iguaçu,Sul,30.324600000000018,66.23699999999997,45.426399999999994,35.25209999999997,30.376699999999843,33.917699999999996
Itabapoana,Sudeste,-1.6903000000000006,-1.6903000000000006,0.0,-1.6903000000000006,-1.6903000000000006,0.0
Itajaí-Açu,Sul,0.0,-1.7640999999999991,-1.764099999999985,0.0,-1.7641000000000417,-1.764099999999985
Jacuí,Sul,11.134600000000049,53.679299999999955,22.515100000000018,5.358699999999999,2.3508999999999816,3.8738999999999777
Jequitinhonha (NE),Nordeste,0.0,0.0,0.0,0.0,0.0,0.0
Jequitinhonha (SE),Sudeste,0.0,-1.4532999999999987,0.0,-1.4532999999999987,-1.4532999999999987,0.0
Jequitinhonha total,Total,0.0,-1.4532999999999987,0.0,-1.4532999999999987,-1.4532999999999987,0.0
Mucuri,Sudeste,0.0,0.0,-0.44950000000000045,-0.44950000000000045,-0.449500000000004,-0.4494999999999969
Paraguai,Sudeste,-2.718599999999995,-3.648299999999992,-1.4376999999999924,-4.7109999999999985,-1.437699999999996,-3.430100000000003
Paraguaçu,Nordeste,-0.9482999999999997,0.0,0.0,0.0,-0.9482999999999997,0.0
Paranapanema (S),Sul,0.0,-1.0493999999999986,-1.0493999999999986,0.0,-1.0494000000000199,-1.0493999999999915
Paranapanema (SE),Sudeste,-0.20149999999999757,1.458400000000001,0.11220000000000141,-0.35090000000001176,0.19749999999999446,0.16910000000002157
Paranapanema total,Total,-0.20149999999999757,0.4090000000000025,-0.9371999999999971,-0.35090000000001176,-0.8519000000000254,-0.8802999999999699
Paranaíba,Sudeste,-23.051899999999993,-21.148099999999875,-18.724000000000302,-19.997500000000056,-18.773699999999984,-17.863000000000046
Paraíba do Sul,Sudeste,-19.76519999999996,-24.41109999999998,-22.907500000000017,-19.169099999999986,-19.01080000000001,-20.509321052631556
Parnaíba,Nordeste,-1.891999999999996,-1.5136000000000251,17.40639999999999,14.000799999999998,7.567999999999984,10.59520000000002
Santa Maria da Vitória,Sudeste,0.0,0.0,0.0,-2.113200000000001,-2.113200000000001,0.0
São Francisco (NE),Nordeste,-211.7967999999995,-195.07600000000014,-136.55319999999978,-8.36040000000014,195.07600000000002,404.086
São Francisco (SE),Sudeste,0.43600000000000705,-1.2043999999999926,0.0,-1.9749999999999979,-1.9749999999999979,0.0
São Francisco total,Total,-211.3607999999995,-196.28040000000013,-136.55319999999978,-10.335400000000138,193.10100000000003,404.086
Tietê,Sudeste,-3.744499999999938,-2.365700000000004,-4.8043000000000475,-4.7971,-4.684899999999992,-2.501499999999993
Tocantins (N),Norte,-39.68380000000002,-63.94960000000026,-52.53559999999925,-44.75779999999918,-39.60040000000026,-34.992600000000266
Tocantins (SE),Sudeste,0.33150000000000546,0.6276000000000295,0.33150000000000546,0.0,0.3314999999999486,0.0
Tocantins total,Total,-39.352300000000014,-63.32200000000023,-52.204099999999244,-44.75779999999918,-39.268900000000315,-34.992600000000266
Uruguai,Sul,15.765099999999926,-0.4602000000001709,5.365900000000053,-0.442199999999886,-1.1526000000001702,-1.617599999999726
Xingu,Norte,1.6369999999997162,-12.277499999999236,673.6255000000001,932.2715000000007,1021.4880000000003,1131.1669999999995
