REGIAO,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6
Nordeste,6109.170300000001,4451.3640000000005,3669.8934000000004,3524.2398000000003,3508.7128000000002,3550.6269
Norte,20793.179252142858,19418.73838,18880.37130142857,16798.32211642857,14172.548705714285,12096.032888571428
Sudeste,36860.88332631579,33825.4324,32949.408726315785,32080.487273684208,30465.743363157897,28813.531857894737
Sul,3631.1465,4396.9172,6265.3915,6071.2397,9784.3374,11434.5802
