REGIAO,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6
Nordeste,6326.8346,4651.550700000001,3791.2688000000003,3519.7346000000002,3307.3955,3136.3241000000003
Norte,20759.861352142856,18977.94118,17740.047501428573,15446.742416428571,12837.926905714285,10695.177888571428
Sudeste,37032.81732631579,34011.66937894737,31974.12610526316,31554.910052631578,30369.586663157894,28593.328257894736
Sul,4603.1406,7540.9145,8131.543000000001,7254.5372,10734.2053,12508.4738
