BACIA,REGIAO,PERC1,PERC2,PERC3,PERC4,PERC5,PERC6
Alto Paraná,Sudeste,-0.29899909486318466,-0.3092461255126877,-0.3103822799298222,-0.2808152968193761,-0.2943131172355732,-0.3040574541226184
Alto Tietê,Sudeste,-11.351351351351354,-12.138728323699427,-8.088235294117647,-8.088235294117647,-12.307692307692312,-14.354066985645936
Amazonas (N),Norte,0.23103766688758812,0.28652711652102064,-0.8569657119832647,4.726219844651883,6.81343762804204,7.437319482999849
Amazonas (SE),Sudeste,-0.07043503580972099,-0.5227338721191329,8.585823539115314,5.139880956498623,1.3901301498869407,3.099604863586545
Amazonas total,Total,-0.052295788616629695,-0.46344478973603837,7.795656235422734,5.102665755104,1.8768544439888075,3.498074668785419
Araguari,Norte,0.041147442844015586,0.3398520143327207,0.2953629188823019,0.2908647569193751,0.21105991818373865,0.20239759327729887
Baixo Paraná,Sudeste,-0.3601691614786686,-0.7814311589442087,-0.781684929550325,-0.722225098452665,-0.6908621637006769,-0.6215161375691682
Capivari,Sul,-9.09090909090908,-9.999999999999998,-9.09090909090908,-9.999999999999998,-8.333333333333341,-8.333333333333341
Doce,Sudeste,-0.42692419617456934,-0.46143548466667594,-0.5470156733694669,-0.9233266255800595,-0.3919308769146359,-0.7849794652759227
Grande,Sudeste,-0.18306842614643845,-0.23069260681187467,-0.2558783104767376,-0.19387345550427698,-0.31002785307015734,-0.2625332978167948
Iguaçu,Sul,1.9591299113111356,3.4060301393841077,1.801092627864417,1.4644832860897692,0.6784580203499626,0.6313202264575623
Itabapoana,Sudeste,-4.545454545454547,-4.761904761904764,0.0,-4.545454545454547,-5.000000000000003,0.0
Itajaí-Açu,Sul,0.0,-1.44927536231884,-0.8264462809917285,0.0,-0.5813953488372229,-0.574712643678156
Jacuí,Sul,1.1199333266212081,3.075541568508837,1.6932683724818913,0.529014814428707,0.22295274253496022,0.31984320838264946
Jequitinhonha (NE),Nordeste,0.0,0.0,0.0,0.0,0.0,0.0
Jequitinhonha (SE),Sudeste,0.0,-1.7543859649122793,0.0,-1.9607843137254883,-2.0833333333333313,0.0
Jequitinhonha total,Total,0.0,-0.9685560830160456,0.0,-1.0660686764478255,-1.1194869140275945,0.0
Mucuri,Sudeste,0.0,0.0,-1.42857142857143,-1.42857142857143,-1.4705882352941306,-1.4492753623188306
Paraguai,Sudeste,-0.6285871909810467,-0.9102347329286994,-0.3681225392031153,-1.2247004215350739,-0.3823906155911737,-0.9274849585523661
Paraguaçu,Nordeste,-7.14285714285714,0.0,0.0,0.0,-7.692307692307689,0.0
Paranapanema (S),Sul,0.0,-2.127659574468082,-1.999999999999997,0.0,-0.9009009009009181,-0.6756756756756702
Paranapanema (SE),Sudeste,-0.04418334487435868,0.3299918565503861,0.024128752053202265,-0.06252880084764242,0.030061029216579806,0.025845089333684478
Paranapanema total,Total,-0.03987130374216375,0.0832532521183276,-0.1811100585651023,-0.05622087417451313,-0.11013856592580204,-0.1087334999106305
Paranaíba,Sudeste,-0.5491840238786974,-0.5332335588504558,-0.49518100341380555,-0.5345043792607345,-0.5346131981517357,-0.5373391445655888
Paraíba do Sul,Sudeste,-2.817331331871868,-3.646130774974192,-3.3411008902581036,-2.714861367182592,-2.8831371733416504,-3.2415971213657953
Parnaíba,Nordeste,-0.9191176470588215,-0.8676789587852637,11.302211302211296,9.736842105263156,5.449591280653938,8.408408408408425
Santa Maria da Vitória,Sudeste,0.0,0.0,0.0,-14.28571428571429,-14.28571428571429,0.0
São Francisco (NE),Nordeste,-3.5087719298245528,-4.43599493029151,-3.8341158059467855,-0.25316455696202955,6.300630063006301,13.744075829383887
São Francisco (SE),Sudeste,0.1419254201448183,-0.4258349285054101,0.0,-0.7654214003297309,-0.807148351006135,0.0
São Francisco total,Total,-3.3319731821314265,-4.193664519914207,-3.568778138587756,-0.29028876589722774,5.780042129733647,12.73446840529119
Tietê,Sudeste,-0.6227033189945447,-0.40762152487013453,-0.785589486447228,-0.7540624128079476,-0.7517664079529424,-0.4443116650506368
Tocantins (N),Norte,-0.35384225279062353,-0.7387479891084675,-0.7522966731496843,-0.7502429944628337,-0.7790505201290114,-0.8095632694819977
Tocantins (SE),Sudeste,0.016896078718295852,0.03593620190419666,0.020861561732382183,0.0,0.024265654677843505,0.0
Tocantins total,Total,-0.2986414852920305,-0.6086949441781809,-0.608978183483516,-0.5988216547871681,-0.6088871420645025,-0.6274952357211869
Uruguai,Sul,0.8472701172976594,-0.01272582356915358,0.136056374333307,-0.01248407835359585,-0.02449061288789648,-0.030031923957440552
Xingu,Norte,0.021904848716280883,-0.14957270850759913,7.833816387459387,12.669893757029433,17.588426988918,24.989451255582846
