Posto,NOME,PRODUTIBILIDADE,Tipo,S1,S2,S3,S4,S5,S6,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6,BACIA,REGIAO
001,CAMARGOS,0.2076,NAT,62,55,51,52,50,48,12.8712,11.418000000000001,10.5876,10.795200000000001,10.38,9.9648,Grande,Sudeste
002,ITUTINGA,0.2437,NAT,62,55,51,52,50,48,15.1094,13.4035,12.4287,12.6724,12.185,11.6976,Grande,Sudeste
006,FURNAS,0.813,NAT,451,409,389,400,381,365,366.66299999999995,332.517,316.257,325.2,309.753,296.745,Grande,Sudeste
007,MASC. DE MORAES,0.3471,NAT,545,493,468,478,455,433,189.1695,171.12030000000001,162.4428,165.9138,157.9305,150.29430000000002,Grande,Sudeste
008,ESTREITO,0.5437,NAT,566,513,486,496,471,449,307.7342,278.9181,264.2382,269.67519999999996,256.0827,244.1213,Grande,Sudeste
009,JAGUARA,0.3944,NAT,575,521,494,504,478,456,226.77999999999997,205.48239999999998,194.8336,198.77759999999998,188.52319999999997,179.8464,Grande,Sudeste
010,IGARAPAVA,0.1523,NAT,601,544,515,525,498,475,91.53229999999999,82.85119999999999,78.4345,79.9575,75.8454,72.3425,Grande,Sudeste
011,VOLTA GRANDE,0.2482,NAT,658,595,563,572,543,516,163.3156,147.679,139.7366,141.9704,134.7726,128.0712,Grande,Sudeste
012,P COLOMBIA,0.2012,NAT,810,734,694,700,662,628,162.97199999999998,147.6808,139.6328,140.84,133.1944,126.3536,Grande,Sudeste
014,CACONDE,0.8259,NAT,34,32,31,32,29,27,28.0806,26.4288,25.602899999999998,26.4288,23.9511,22.2993,Grande,Sudeste
015,EUC DA CUNHA,0.7502,NAT,56,53,51,52,48,44,42.0112,39.7606,38.2602,39.0104,36.0096,33.0088,Grande,Sudeste
016,LIMOEIRO,0.2209,NAT,56,53,52,53,49,45,12.3704,11.7077,11.4868,11.7077,10.824100000000001,9.9405,Grande,Sudeste
017,MARIMBONDO,0.5183,NAT,1191,1097,1046,1069,1021,962,617.2953,568.5751,542.1418,554.0627,529.1843,498.6046,Grande,Sudeste
018,AGUA VERMELHA,0.4625,NAT,1357,1255,1198,1224,1171,1104,627.6125000000001,580.4375,554.075,566.1,541.5875,510.6,Grande,Sudeste
020,,,,,,,,,,,,,,,,Paranaíba,Sudeste
022,BATALHA,0.3551,NAT,83,78,73,70,66,62,29.473300000000002,27.6978,25.922300000000003,24.857000000000003,23.436600000000002,22.0162,Paranaíba,Sudeste
023,CORUMBA III,0.3471,NAT,106,99,93,90,84,79,36.7926,34.3629,32.280300000000004,31.239,29.1564,27.420900000000003,Paranaíba,Sudeste
024,EMBORCACAO,1.1582,NAT,360,339,322,316,295,278,416.95199999999994,392.6298,372.94039999999995,365.9912,341.669,321.97959999999995,Paranaíba,Sudeste
025,NOVA PONTE,0.9669,NAT,274,259,248,247,229,217,264.93059999999997,250.4271,239.7912,238.8243,221.4201,209.8173,Paranaíba,Sudeste
028,CAPIM BRANCO 2,0.4169,NAT,288,272,261,260,241,229,120.0672,113.3968,108.8109,108.39399999999999,100.4729,95.4701,Paranaíba,Sudeste
031,ITUMBIARA,0.7027,NAT,1203,1136,1080,1068,1000,945,845.3481,798.2672,758.9159999999999,750.4836,702.7,664.0515,Paranaíba,Sudeste
032,CACH DOURADA,0.2702,NAT,1249,1180,1123,1111,1041,984,337.4798,318.836,303.4346,300.1922,281.27819999999997,265.8768,Paranaíba,Sudeste
033,SAO SIMAO,0.6355,NAT,1933,1828,1744,1727,1633,1548,1228.4215,1161.694,1108.312,1097.5085,1037.7714999999998,983.7539999999999,Paranaíba,Sudeste
034,ILHA SOLTEIRA,0.3869,NAT,3852,3622,3474,3501,3334,3155,1490.3388,1401.3518000000001,1344.0906,1354.5369,1289.9246,1220.6695,Alto Paraná,Sudeste
037,BARRA BONITA,0.1776,ART,238.6,230.7,249.0,261.0,255.2,231.1,42.37536,40.972319999999996,44.2224,46.3536,45.32352,41.04336,Tietê,Sudeste
038,BARIRI,0.1848,ART,296.6,285.7,303.0,315.0,308.2,280.1,54.81168,52.79736,55.9944,58.211999999999996,56.95536,51.762480000000004,Tietê,Sudeste
039,IBITINGA,0.1737,ART,407.6,392.7,408.0,418.0,410.2,373.1,70.80012,68.21199,70.86959999999999,72.6066,71.25174,64.80747,Tietê,Sudeste
040,PROMISSAO,0.213,ART,458.6,443.7,464.0,482.0,473.2,428.1,97.6818,94.5081,98.832,102.666,100.79159999999999,91.1853,Tietê,Sudeste
042,N.AVANHANDAVA,0.2784,ART,478.6,463.7,487.0,508.0,498.2,450.1,133.24224,129.09408,135.58079999999998,141.4272,138.69887999999997,125.30784,Tietê,Sudeste
043,TRES IRMAOS,0.4025,ART,493.6,477.7,500.0,522.0,512.2,463.1,198.67400000000004,192.27425,201.25,210.10500000000002,206.16050000000004,186.39775000000003,Tietê,Sudeste
044,,,ART,4345.6,4100.7,3975.0,4024.0,3846.2,3619.1,,,,,,,Alto Paraná,Sudeste
045,JUPIA,0.18,ART,4622.6,4365.7,4238.0,4301.0,4117.2,3877.1,832.068,785.8259999999999,762.8399999999999,774.18,741.0959999999999,697.8779999999999,Alto Paraná,Sudeste
046,P.PRIMAVERA,0.1754,ART,5193.6,4917.7,4789.0,4916.0,4724.2,4440.1,910.95744,862.56458,839.9906,862.2664,828.62468,778.7935400000001,Baixo Paraná,Sudeste
047,JURUMIRIM,0.2907,NAT,54,54,52,74,78,77,15.6978,15.6978,15.1164,21.5118,22.6746,22.3839,Paranapanema (SE),Sudeste
048,PIRAJU,0.2306,NAT,55,55,53,75,80,79,12.683,12.683,12.2218,17.295,18.448,18.2174,Paranapanema (SE),Sudeste
049,CHAVANTES,0.6177,NAT,80,79,84,111,133,123,49.416000000000004,48.798300000000005,51.8868,68.5647,82.1541,75.97710000000001,Paranapanema (SE),Sudeste
050,LUCAS GARCEZ,0.1483,NAT,139,136,143,176,202,187,20.613699999999998,20.168799999999997,21.206899999999997,26.1008,29.956599999999998,27.7321,Paranapanema (SE),Sudeste
051,CANOAS 2,0.1288,NAT,153,150,157,191,218,202,19.7064,19.32,20.2216,24.6008,28.0784,26.017599999999998,Paranapanema (SE),Sudeste
052,CANOAS 1,0.1489,NAT,149,145,152,186,213,198,22.1861,21.590500000000002,22.6328,27.6954,31.715700000000002,29.482200000000002,Paranapanema (SE),Sudeste
053,PARANAPANEMA,0.1275,NAT,55,55,53,75,80,79,7.0125,7.0125,6.7575,9.5625,10.2,10.0725,Paranapanema (SE),Sudeste
054,,,,,,,,,,,,,,,,Paranapanema (S),Sul
055,,,,,,,,,,,,,,,,Paranapanema (S),Sul
057,GOV JAYME CANET JR,1.0494,NAT,45,43,47,57,107,143,47.223000000000006,45.1242,49.3218,59.8158,112.28580000000001,150.06420000000003,Paranapanema (S),Sul
058,,,,,,,,,,,,,,,,Paranapanema (S),Sul
