;NOME;PRODUTIBILIDADE;Tipo;S1;S2;S3;S4;S5;S6;ENA1;ENA2;ENA3;ENA4;ENA5;ENA6
001;CAMARGOS;0.2076;NAT;62;55;52;52;51;49;12.8712;11.418000000000001;10.795200000000001;10.795200000000001;10.5876;10.1724
002;ITUTINGA;0.2437;NAT;62;55;52;52;51;49;15.1094;13.4035;12.6724;12.6724;12.4287;11.9413
006;FURNAS;0.813;NAT;452;410;389;400;382;365;367.476;333.33;316.257;325.2;310.566;296.745
007;MASC. DE MORAES;0.3471;NAT;545;494;468;478;455;434;189.1695;171.4674;162.4428;165.9138;157.9305;150.6414
008;ESTREITO;0.5437;NAT;567;514;487;497;472;450;308.2779;279.4618;264.7819;270.21889999999996;256.6264;244.665
009;JAGUARA;0.3944;NAT;576;522;494;504;479;456;227.1744;205.87679999999997;194.8336;198.77759999999998;188.9176;179.8464
010;IGARAPAVA;0.1523;NAT;602;545;516;525;499;475;91.68459999999999;83.00349999999999;78.5868;79.9575;75.9977;72.3425
011;VOLTA GRANDE;0.2482;NAT;659;596;564;573;544;517;163.56380000000001;147.9272;139.9848;142.2186;135.0208;128.3194
012;P COLOMBIA;0.2012;NAT;811;735;695;700;663;628;163.17319999999998;147.882;139.834;140.84;133.3956;126.3536
014;CACONDE;0.8259;NAT;34;33;32;32;30;27;28.0806;27.2547;26.4288;26.4288;24.776999999999997;22.2993
015;EUC DA CUNHA;0.7502;NAT;56;53;52;53;49;45;42.0112;39.7606;39.0104;39.7606;36.7598;33.759
016;LIMOEIRO;0.2209;NAT;57;54;52;54;49;46;12.5913;11.928600000000001;11.4868;11.928600000000001;10.824100000000001;10.1614
017;MARIMBONDO;0.5183;NAT;1193;1099;1048;1071;1023;963;618.3319;569.6116999999999;543.1784;555.0993;530.2209;499.12289999999996
018;AGUA VERMELHA;0.4625;NAT;1360;1258;1201;1227;1174;1106;629.0;581.825;555.4625;567.4875000000001;542.975;511.52500000000003
022;BATALHA;0.3551;NAT;83;78;73;71;66;63;29.473300000000002;27.6978;25.922300000000003;25.212100000000003;23.436600000000002;22.3713
023;CORUMBA III;0.3471;NAT;108;101;94;92;85;81;37.4868;35.057100000000005;32.6274;31.933200000000003;29.503500000000003;28.1151
024;EMBORCACAO;1.1582;NAT;361;339;322;316;296;279;418.11019999999996;392.6298;372.94039999999995;365.9912;342.82719999999995;323.13779999999997
025;NOVA PONTE;0.9669;NAT;273;259;247;246;228;217;263.9637;250.4271;238.8243;237.85739999999998;220.4532;209.8173
028;CAPIM BRANCO 2;0.4169;NAT;287;272;260;259;241;229;119.6503;113.3968;108.39399999999999;107.9771;100.4729;95.4701
031;ITUMBIARA;0.7027;NAT;1212;1144;1088;1076;1007;951;851.6724;803.8888;764.5376;756.1052;707.6188999999999;668.2677
032;CACH DOURADA;0.2702;NAT;1258;1188;1131;1118;1048;991;339.9116;320.9976;305.5962;302.0836;283.1696;267.7682
033;SAO SIMAO;0.6355;NAT;1940;1835;1751;1733;1639;1553;1232.87;1166.1425;1112.7604999999999;1101.3215;1041.5845;986.9314999999999
034;ILHA SOLTEIRA;0.3869;NAT;3864;3634;3485;3510;3343;3164;1494.9816;1405.9946;1348.3465;1358.019;1293.4067;1224.1516000000001
037;BARRA BONITA;0.1776;ART;241.5;231.7;251.8;264.8;258.0;233.1;42.8904;41.14992;44.719680000000004;47.02848;45.820800000000006;41.39856
038;BARIRI;0.1848;ART;299.5;287.7;306.8;317.8;311.0;281.1;55.3476;53.166959999999996;56.69664;58.72944;57.4728;51.94728
039;IBITINGA;0.1737;ART;410.5;393.7;410.8;420.8;413.0;374.1;71.30385;68.38569;71.35596;73.09296;71.7381;64.98117
040;PROMISSAO;0.213;ART;461.5;445.7;467.8;485.8;476.0;430.1;98.2995;94.9341;99.6414;103.4754;101.38799999999999;91.6113
042;N.AVANHANDAVA;0.2784;ART;481.5;465.7;489.8;510.8;501.0;452.1;134.0496;129.65088;136.36032;142.20672;139.4784;125.86464
043;TRES IRMAOS;0.4025;ART;495.5;479.7;503.8;525.8;515.0;465.1;199.43875;193.07925;202.7795;211.6345;207.28750000000002;187.20275
044;;;ART;4359.5;4113.7;3988.8;4035.8;3858.0;3629.1;;;;;;
045;JUPIA;0.18;ART;4635.5;4377.7;4250.8;4311.8;4127.0;3886.1;834.39;787.986;765.144;776.124;742.86;699.4979999999999
046;P.PRIMAVERA;0.1754;ART;5206.5;4921.7;4798.8;4923.8;4731.0;4446.1;913.2201;863.26618;841.70952;863.6345200000001;829.8174;779.84594
047;JURUMIRIM;0.2907;NAT;55;53;52;74;78;77;15.9885;15.407100000000002;15.1164;21.5118;22.6746;22.3839
048;PIRAJU;0.2306;NAT;56;55;54;76;80;79;12.9136;12.683;12.4524;17.5256;18.448;18.2174
